Sample	Family	Genus_species	Count	cruisenum	site	camera	depth	lat	lon	comments	opdate_time	bruvsops_recordcreated	timeoftimeonseabed	timeofendsamplingtime	tapereader	genus	species	timefirstseen	stage	activity	timefirstfeed	timemaxnumseen	caabcode	bruvsspecies_recordcreated	status	taxa
GBISBRUVS20	Squalidae	Squalus griffini	1	50.0	10.0	12.0	101.0	-36.0623	175.6399	Some light penetration. Vis 4-5m	39016.66388888889	39091.38790509259	39100.65325231481	39100.686273148145	Glenn Shiell	Squalus	griffini	13.4	AD	P	0.0	13.4	37020007.0	39100.67984953704	R	Squalus griffini
GBISBRUVS20	Labridae	Bodianus unimaculatus	1	50.0	10.0	12.0	101.0	-36.0623	175.6399	Some light penetration. Vis 4-5m	39016.66388888889	39091.38790509259	39100.65325231481	39100.686273148145	Glenn Shiell	Bodianus	unimaculatus	17.98333	M	P	0.0	17.98333	37384061.0	39100.68090277778	R	Bodianus unimaculatus
GBISBRUVS20	Monacanthidae	Parika scaber	1	50.0	10.0	12.0	101.0	-36.0623	175.6399	Some light penetration. Vis 4-5m	39016.66388888889	39091.38790509259	39100.65325231481	39100.686273148145	Glenn Shiell	Parika	scaber	18.75	AD	P	0.0	18.75	37465005.0	39100.68131944445	R	Parika scaber
GBISBRUVS20	Serranidae	Plectranthias maculicauda	1	50.0	10.0	12.0	101.0	-36.0623	175.6399	Some light penetration. Vis 4-5m	39016.66388888889	39091.38790509259	39100.65325231481	39100.686273148145	Glenn Shiell	Plectranthias	maculicauda	20.55	AD	P	0.0	20.55	37311107.0	39100.68232638889	R	Plectranthias maculicauda
GBISBRUVS21	Berycidae	Centroberyx affinis	59	50.0	10.0	34.0	106.0	-36.0555	175.6453	Very Dark.	39016.69236111111	39091.38790509259	39099.67833333334	39100.42190972222	Glenn Shiell	Centroberyx	affinis	4.33333	AD	P	0.0	4.76666	37258003.0	39099.67886574074	R	Centroberyx affinis
GBISBRUVS21	Polyprionidae	Polyprion oxygeneios	1	50.0	10.0	34.0	106.0	-36.0555	175.6453	Very Dark.	39016.69236111111	39091.38790509259	39099.67833333334	39100.42190972222	Glenn Shiell	Polyprion	oxygeneios	5.81666	AD	P	0.0	5.81666	37991512.0	39100.36417824074	R	Polyprion oxygeneios
GBISBRUVS21	Latridae	Latridopsis cilaris	1	50.0	10.0	34.0	106.0	-36.0555	175.6453	Very Dark.	39016.69236111111	39091.38790509259	39099.67833333334	39100.42190972222	Glenn Shiell	Latridopsis	cilaris	5.01666	AD	P	0.0	5.01666	37991523.0	39100.40751157407	R	Latridopsis cilaris
GBISBRUVS21	Latridae	Nemadactylus macropterus	1	50.0	10.0	34.0	106.0	-36.0555	175.6453	Very Dark.	39016.69236111111	39091.38790509259	39099.67833333334	39100.42190972222	Glenn Shiell	Nemadactylus	macropterus	23.7	AD	P	0.0	23.7	37991376.0	39100.42114583333	R	Nemadactylus macropterus
GBISBRUVS22	Carangidae	Pseudocaranx dentex	56	50.0	10.0	12.0	111.0	-36.0521	175.6451	Good light penetration; Vis around 5-6m	39016.69930555556	39091.38790509259	39104.47324074074	39104.48001157407	Glenn Shiell	Pseudocaranx	dentex	7.2	AD	P	0.0	8.51666	37337062.0	39104.473657407405	R	Pseudocaranx dentex
GBISBRUVS22	Polyprionidae	Polyprion oxygeneios	2	50.0	10.0	12.0	111.0	-36.0521	175.6451	Good light penetration; Vis around 5-6m	39016.69930555556	39091.38790509259	39104.47324074074	39104.48001157407	Glenn Shiell	Polyprion	oxygeneios	26.88333	AD	P	0.0	27.6	37991512.0	39104.478483796294	R	Polyprion oxygeneios
GBISBRUVS23	Latridae	Nemadactylus macropterus	8	50.0	9.0	34.0	102.0	-36.0487	175.5953	Edge of sediment, school of 8 tarakihi @24 min	39016.74166666667	39091.38790509259	39326.631006944444	39326.64523148148	Tim Langlois	Nemadactylus	macropterus	5.36666	AD	F	13.18333	24.51666	37991376.0	39091.631747685184	R	Nemadactylus macropterus
GBISBRUVS23	Serranidae	Plectranthias maculicauda	2	50.0	9.0	34.0	102.0	-36.0487	175.5953	Edge of sediment, school of 8 tarakihi @24 min	39016.74166666667	39091.38790509259	39326.631006944444	39326.64523148148	Tim Langlois	Plectranthias	maculicauda	7.65	AD	P	0.0	9.23333	37311107.0	39091.63306712963	R	Plectranthias maculicauda
GBISBRUVS23	Scorpaenidae	Helicolenus percoides	6	50.0	9.0	34.0	102.0	-36.0487	175.5953	Edge of sediment, school of 8 tarakihi @24 min	39016.74166666667	39091.38790509259	39326.631006944444	39326.64523148148	Tim Langlois	Helicolenus	percoides	7.93333	AD	P	0.0	18.36666	37287001.0	39091.633576388886	R	Helicolenus percoides
GBISBRUVS23	Serranidae	Caprodon longimanus	1	50.0	9.0	34.0	102.0	-36.0487	175.5953	Edge of sediment, school of 8 tarakihi @24 min	39016.74166666667	39091.38790509259	39326.631006944444	39326.64523148148	Tim Langlois	Caprodon	longimanus	13.33333	AD	P	0.0	13.33333	37311095.0	39091.639861111114	R	Caprodon longimanus
GBISBRUVS23	Sparidae	Pagrus auratus	1	50.0	9.0	34.0	102.0	-36.0487	175.5953	Edge of sediment, school of 8 tarakihi @24 min	39016.74166666667	39091.38790509259	39326.631006944444	39326.64523148148	Tim Langlois	Pagrus	auratus	26.3	AD	F	29.15	26.3	37353001.0	39091.64380787037	R	Pagrus auratus
GBISBRUVS24	Scorpaenidae	Helicolenus percoides	1	50.0	9.0	12.0	102.0	-36.0492	175.5987	Cant see bottom. Vis ~5-6m	39016.73888888889	39091.38791666667	39098.57959490741	39098.61048611111	Glenn Shiell	Helicolenus	percoides	3.98333	AD	P	0.0	3.98333	37287001.0	39098.58100694444	R	Helicolenus percoides
GBISBRUVS24	Berycidae	Centroberyx affinis	4	50.0	9.0	12.0	102.0	-36.0492	175.5987	Cant see bottom. Vis ~5-6m	39016.73888888889	39091.38791666667	39098.57959490741	39098.61048611111	Glenn Shiell	Centroberyx	affinis	5.85	AD	P	0.0	6.01666	37258003.0	39098.58226851852	R	Centroberyx affinis
GBISBRUVS24	Polyprionidae	Polyprion oxygeneios	4	50.0	9.0	12.0	102.0	-36.0492	175.5987	Cant see bottom. Vis ~5-6m	39016.73888888889	39091.38791666667	39098.57959490741	39098.61048611111	Glenn Shiell	Polyprion	oxygeneios	19.98333	AD	P	0.0	23.3	37991512.0	39098.60003472222	R	Polyprion oxygeneios
GBISBRUVS25	Squalidae	Squalus griffini	2	50.0	8.0	34.0	98.0	-36.0533	175.5392	Very Dark, silty habitat	39016.78472222222	39091.38791666667	39100.53841435185	39100.62157407407	Glenn Shiell	Squalus	griffini	6.25	AD	F	22.98333	15.51666	37020007.0	39100.58609953704	R	Squalus griffini
GBISBRUVS25	Scorpaenidae	Helicolenus percoides	2	50.0	8.0	34.0	98.0	-36.0533	175.5392	Very Dark, silty habitat	39016.78472222222	39091.38791666667	39100.53841435185	39100.62157407407	Glenn Shiell	Helicolenus	percoides	13.5	AD	P	0.0	13.66666	37287001.0	39100.58773148148	R	Helicolenus percoides
GBISBRUVS25	Latridae	Nemadactylus macropterus	1	50.0	8.0	34.0	98.0	-36.0533	175.5392	Very Dark, silty habitat	39016.78472222222	39091.38791666667	39100.53841435185	39100.62157407407	Glenn Shiell	Nemadactylus	macropterus	23.13333	AD	P	0.0	23.13333	37991376.0	39100.59168981481	R	Nemadactylus macropterus
GBISBRUVS25	Cheilodactylidae	Nemadactylus douglasii	1	50.0	8.0	34.0	98.0	-36.0533	175.5392	Very Dark, silty habitat	39016.78472222222	39091.38791666667	39100.53841435185	39100.62157407407	Glenn Shiell	Nemadactylus	douglasii	31.91666	AD	P	0.0	31.91666	37377002.0	39100.613587962966	R	Nemadactylus douglasii
GBISBRUVS26	Squalidae	Squalus griffini	2	50.0	8.0	12.0	101.0	-36.0536	175.5409	Very Dark.	39016.78958333333	39091.38791666667	39100.4240625	39100.431608796294	Glenn Shiell	Squalus	griffini	11.36666	AD	P	0.0	13.11666	37020007.0	39100.42554398148	R	Squalus griffini
GBISBRUVS27	Carangidae	Seriola lalandi	1	50.0	7.0	12.0	92.0	-36.0414	175.5019	Very dark. Vis 2-3m.	39017.27777777778	39091.38791666667	39100.62533564815	39100.648888888885	Glenn Shiell	Seriola	lalandi	18.91666	AD	P	0.0	18.91666	37337006.0	39100.63064814815	R	Seriola lalandi
GBISBRUVS27	Cheilodactylidae	Nemadactylus macropterus	2	50.0	7.0	12.0	92.0	-36.0414	175.5019	Very dark. Vis 2-3m.	39017.27777777778	39091.38791666667	39100.62533564815	39100.648888888885	Glenn Shiell	Nemadactylus	macropterus	22.58333	AD	P	0.0	28.05	37377003.0	39100.63271990741	R	Nemadactylus macropterus
GBISBRUVS27	Sparidae	Pagrus auratus	1	50.0	7.0	12.0	92.0	-36.0414	175.5019	Very dark. Vis 2-3m.	39017.27777777778	39091.38791666667	39100.62533564815	39100.648888888885	Glenn Shiell	Pagrus	auratus	23.91666	AD	P	0.0	23.91666	37353001.0	39100.64072916667	R	Pagrus auratus
GBISBRUVS27	Berycidae	Centroberyx affinis	2	50.0	7.0	12.0	92.0	-36.0414	175.5019	Very dark. Vis 2-3m.	39017.27777777778	39091.38791666667	39100.62533564815	39100.648888888885	Glenn Shiell	Centroberyx	affinis	28.36666	AD	P	0.0	28.55	37258003.0	39100.64303240741	R	Centroberyx affinis
GBISBRUVS28	Latridae	Nemadactylus macropterus	1	50.0	7.0	34.0	84.0	-36.0426	175.5044	Very very dark. Vis 1-2m. More fish in distance, but not possible to ID due to darkness	39017.28472222222	39091.38791666667	39104.614907407406	39104.620034722226	Glenn Shiell	Nemadactylus	macropterus	15.85	AD	P	0.0	15.85	37991376.0	39104.616423611114	R	Nemadactylus macropterus
GBISBRUVS28	Labridae	Bodianus flavipinnis	1	50.0	7.0	34.0	84.0	-36.0426	175.5044	Very very dark. Vis 1-2m. More fish in distance, but not possible to ID due to darkness	39017.28472222222	39091.38791666667	39104.614907407406	39104.620034722226	Glenn Shiell	Bodianus	flavipinnis	18.05	AD	P	0.0	18.05	37384035.0	39104.61769675926	R	Bodianus flavipinnis
GBISBRUVS28	Monacanthidae	Parika scaber	1	50.0	7.0	34.0	84.0	-36.0426	175.5044	Very very dark. Vis 1-2m. More fish in distance, but not possible to ID due to darkness	39017.28472222222	39091.38791666667	39104.614907407406	39104.620034722226	Glenn Shiell	Parika	scaber	25.48333	AD	P	0.0	25.48333	37465005.0	39104.61881944445	R	Parika scaber
GBISBRUVS28	Scorpaenidae	Helicolenus percoides	2	50.0	7.0	34.0	84.0	-36.0426	175.5044	Very very dark. Vis 1-2m. More fish in distance, but not possible to ID due to darkness	39017.28472222222	39091.38791666667	39104.614907407406	39104.620034722226	Glenn Shiell	Helicolenus	percoides	29.93333	AD	P	0.0	29.96666	37287001.0	39104.619525462964	R	Helicolenus percoides
GBISBRUVS29	Scorpaenidae	Helicolenus percoides	4	50.0	5.0	34.0	104.0	-36.0277	175.5184	Silty. Very Dark. Vis~2-3m.	39017.31597222222	39091.38791666667	39100.48918981481	39100.496145833335	Glenn Shiell	Helicolenus	percoides	3.98333	AD	P	0.0	12.23333	37287001.0	39100.489849537036	R	Helicolenus percoides
GBISBRUVS29	Squalidae	Squalus griffini	1	50.0	5.0	34.0	104.0	-36.0277	175.5184	Silty. Very Dark. Vis~2-3m.	39017.31597222222	39091.38791666667	39100.48918981481	39100.496145833335	Glenn Shiell	Squalus	griffini	26.43333	AD	P	0.0	26.43333	37020007.0	39100.49493055556	R	Squalus griffini
GBISBRUVS30	Latridae	Nemadactylus macropterus	2	50.0	5.0	12.0	105.0	-36.0276	175.5182	Vis 5-6m	39017.32152777778	39091.38791666667	39098.46251157407	39098.515	Glenn Shiell	Nemadactylus	macropterus	20.11666	AD	P	0.0	24.23333	37991376.0	39098.46457175926	R	Nemadactylus macropterus
GBISBRUVS31	Labridae	Pseudolabrus miles	1	50.0	6.0	12.0	86.0	-36.0378	175.5302	Very Dark, vis~2-3m.	39017.35138888889	39091.38791666667	39100.435208333336	39100.468993055554	Glenn Shiell	Pseudolabrus	miles	16.91666	AD	P	0.0	16.91666	37991372.0	39100.45554398148	R	Pseudolabrus miles
GBISBRUVS31	Latridae	Nemadactylus macropterus	1	50.0	6.0	12.0	86.0	-36.0378	175.5302	Very Dark, vis~2-3m.	39017.35138888889	39091.38791666667	39100.435208333336	39100.468993055554	Glenn Shiell	Nemadactylus	macropterus	8.9	AD	P	0.0	8.9	37991376.0	39100.452835648146	R	Nemadactylus macropterus
GBISBRUVS31	Scorpaenidae	Helicolenus percoides	1	50.0	6.0	12.0	86.0	-36.0378	175.5302	Very Dark, vis~2-3m.	39017.35138888889	39091.38791666667	39100.435208333336	39100.468993055554	Glenn Shiell	Helicolenus	percoides	10.65	AD	P	0.0	10.65	37287001.0	39100.45412037037	R	Helicolenus percoides
GBISBRUVS31	Squalidae	Squalus griffini	2	50.0	6.0	12.0	86.0	-36.0378	175.5302	Very Dark, vis~2-3m.	39017.35138888889	39091.38791666667	39100.435208333336	39100.468993055554	Glenn Shiell	Squalus	griffini	16.63333	AD	P	0.0	21.56666	37020007.0	39100.45494212963	R	Squalus griffini
GBISBRUVS32	Labridae	Bodianus unimaculatus	1	50.0	6.0	34.0	92.0	-36.04	175.528	Dark	39017.35833333333	39091.38791666667	39326.64755787037	39326.674108796295	Tim Langlois	Bodianus	unimaculatus	9.21666	AD	P	0.0	9.21666	37384061.0	39091.64975694445	R	Bodianus unimaculatus
GBISBRUVS32	Latridae	Nemadactylus macropterus	2	50.0	6.0	34.0	92.0	-36.04	175.528	Dark	39017.35833333333	39091.38791666667	39326.64755787037	39326.674108796295	Tim Langlois	Nemadactylus	macropterus	12.71666	AD	F	15.25	16.26666	37991376.0	39091.65114583333	R	Nemadactylus macropterus
GBISBRUVS32	Squalidae	Squalus griffini	2	50.0	6.0	34.0	92.0	-36.04	175.528	Dark	39017.35833333333	39091.38791666667	39326.64755787037	39326.674108796295	Tim Langlois	Squalus	griffini	13.65	AD	F	15.15	19.01666	37020007.0	39091.651608796295	R	Squalus griffini
GBISBRUVS32	Monacanthidae	Parika scaber	1	50.0	6.0	34.0	92.0	-36.04	175.528	Dark	39017.35833333333	39091.38791666667	39326.64755787037	39326.674108796295	Tim Langlois	Parika	scaber	16.8	AD	P	0.0	16.8	37465005.0	39091.65292824074	R	Parika scaber
GBISBRUVS32	Labridae	Pseudolabrus miles	1	50.0	6.0	34.0	92.0	-36.04	175.528	Dark	39017.35833333333	39091.38791666667	39326.64755787037	39326.674108796295	Tim Langlois	Pseudolabrus	miles	20.81666	AD	P	0.0	20.81666	37991372.0	39091.65458333334	R	Pseudolabrus miles
GBISBRUVS32	Serranidae	Caesioperca lepidoptera	10	50.0	6.0	34.0	92.0	-36.04	175.528	Dark	39017.35833333333	39091.38791666667	39326.64755787037	39326.674108796295	Tim Langlois	Caesioperca	lepidoptera	29.11666	AD	P	0.0	31.21666	37311002.0	39091.657118055555	R	Caesioperca lepidoptera
GBISBRUVS32	Scyliorhinidae	Cephaloscyllium isabellum	1	50.0	6.0	34.0	92.0	-36.04	175.528	Dark	39017.35833333333	39091.38791666667	39326.64755787037	39326.674108796295	Tim Langlois	Cephaloscyllium	isabellum	30.05	AD	P	0.0	30.05	37991409.0	39091.667291666665	R	Cephaloscyllium isabellum
GBISBRUVS32	Triakidae	Galeorhinus galeus	1	50.0	6.0	34.0	92.0	-36.04	175.528	Dark	39017.35833333333	39091.38791666667	39326.64755787037	39326.674108796295	Tim Langlois	Galeorhinus	galeus	30.05	AD	P	0.0	30.05	37017008.0	39091.66957175926	R	Galeorhinus galeus
GBISBRUVS33	Carangidae	Seriola lalandi	1	50.0	3.0	34.0	98.0	-36.0155	175.5002	0	39017.39236111111	39091.38791666667	39100.51136574074	39100.58695601852	Tim Langlois	Seriola	lalandi	26.26666	AD	P	0.0	26.26666	37337006.0	39100.51269675926	N	Seriola lalandi
GBISBRUVS33	Latridae	Nemadactylus macropterus	2	50.0	3.0	34.0	98.0	-36.0155	175.5002	0	39017.39236111111	39091.38791666667	39100.51136574074	39100.58695601852	Tim Langlois	Nemadactylus	macropterus	10.95	AD	P	0.0	10.95	37991376.0	39100.513125	N	Nemadactylus macropterus
GBISBRUVS33	Sparidae	Pagrus auratus	2	50.0	3.0	34.0	98.0	-36.0155	175.5002	0	39017.39236111111	39091.38791666667	39100.51136574074	39100.58695601852	Tim Langlois	Pagrus	auratus	14.25	AD	F	15.56666	14.26666	37353001.0	39100.57462962963	N	Pagrus auratus
GBISBRUVS33	Triglidae	Chelidonichthys kumu	1	50.0	3.0	34.0	98.0	-36.0155	175.5002	0	39017.39236111111	39091.38791666667	39100.51136574074	39100.58695601852	Tim Langlois	Chelidonichthys	kumu	26.26666	AD	P	0.0	26.26666	37288001.0	39100.57744212963	N	Chelidonichthys kumu
GBISBRUVS34	Sparidae	Pagrus auratus	3	50.0	3.0	12.0	103.0	-36.0136	175.504	Some light penetration, Vis around 3-4m	39017.396527777775	39091.38791666667	39104.39787037037	39104.40508101852	Glenn Shiell	Pagrus	auratus	13.0	AD	F	18.43333	26.18333	37353001.0	39104.39988425926	N	Pagrus auratus
GBISBRUVS34	Latridae	Nemadactylus macropterus	3	50.0	3.0	12.0	103.0	-36.0136	175.504	Some light penetration, Vis around 3-4m	39017.396527777775	39091.38791666667	39104.39787037037	39104.40508101852	Glenn Shiell	Nemadactylus	macropterus	16.36666	AD	F	18.43333	16.91666	37991376.0	39104.400509259256	N	Nemadactylus macropterus
GBISBRUVS34	Latridae	Nemadactylus douglasii	1	50.0	3.0	12.0	103.0	-36.0136	175.504	Some light penetration, Vis around 3-4m	39017.396527777775	39091.38791666667	39104.39787037037	39104.40508101852	Glenn Shiell	Nemadactylus	douglasii	31.51666	AD	P	0.0	31.51666	37991369.0	39104.40452546296	N	Nemadactylus douglasii
GBISBRUVS35	Squalidae	Squalus griffini	1	50.0	4.0	12.0	105.0	-36.0091	175.5264	Little light penetration, Vis around ~2-3m	39017.42916666667	39091.38791666667	39104.43373842593	39104.47046296296	Glenn Shiell	Squalus	griffini	14.55	AD	P	0.0	14.55	37020007.0	39104.434907407405	N	Squalus griffini
GBISBRUVS35	Labridae	Pseudolabrus miles	1	50.0	4.0	12.0	105.0	-36.0091	175.5264	Little light penetration, Vis around ~2-3m	39017.42916666667	39091.38791666667	39104.43373842593	39104.47046296296	Glenn Shiell	Pseudolabrus	miles	16.95	M	P	0.0	16.95	37991372.0	39104.43708333333	N	Pseudolabrus miles
GBISBRUVS35	Latridae	Nemadactylus macropterus	4	50.0	4.0	12.0	105.0	-36.0091	175.5264	Little light penetration, Vis around ~2-3m	39017.42916666667	39091.38791666667	39104.43373842593	39104.47046296296	Glenn Shiell	Nemadactylus	macropterus	20.48333	AD	P	0.0	42.63333	37991376.0	39104.437939814816	N	Nemadactylus macropterus
GBISBRUVS35	Berycidae	Centroberyx affinis	2	50.0	4.0	12.0	105.0	-36.0091	175.5264	Little light penetration, Vis around ~2-3m	39017.42916666667	39091.38791666667	39104.43373842593	39104.47046296296	Glenn Shiell	Centroberyx	affinis	26.08333	AD	P	0.0	28.55	37258003.0	39104.439722222225	N	Centroberyx affinis
GBISBRUVS35	Scyliorhinidae	Cephaloscyllium isabellum	1	50.0	4.0	12.0	105.0	-36.0091	175.5264	Little light penetration, Vis around ~2-3m	39017.42916666667	39091.38791666667	39104.43373842593	39104.47046296296	Glenn Shiell	Cephaloscyllium	isabellum	43.83333	AD	P	0.0	43.83333	37991409.0	39104.46734953704	N	Cephaloscyllium isabellum
GBISBRUVS35	Sparidae	Pagrus auratus	1	50.0	4.0	12.0	105.0	-36.0091	175.5264	Little light penetration, Vis around ~2-3m	39017.42916666667	39091.38791666667	39104.43373842593	39104.47046296296	Glenn Shiell	Pagrus	auratus	42.0	AD	P	0.0	42.0	37353001.0	39115.480462962965	N	Pagrus auratus
GBISBRUVS36	Labridae	Bodianus flavipinnis	1	50.0	4.0	34.0	95.0	-36.006	175.5297	Vis poor ~3m. Should be some difficulty with measurements	39017.43541666667	39091.38791666667	39098.413668981484	39104.51332175926	Glenn Shiell	Bodianus	flavipinnis	6.45	AD	P	0.0	6.45	37384035.0	39098.42265046296	N	Bodianus flavipinnis
GBISBRUVS36	Serranidae	Caprodon longimanus	2	50.0	4.0	34.0	95.0	-36.006	175.5297	Vis poor ~3m. Should be some difficulty with measurements	39017.43541666667	39091.38791666667	39098.413668981484	39104.51332175926	Glenn Shiell	Caprodon	longimanus	8.38333	AD	P	0.0	12.23333	37311095.0	39098.42349537037	N	Caprodon longimanus
GBISBRUVS36	Labridae	Pseudolabrus miles	1	50.0	4.0	34.0	95.0	-36.006	175.5297	Vis poor ~3m. Should be some difficulty with measurements	39017.43541666667	39091.38791666667	39098.413668981484	39104.51332175926	Glenn Shiell	Pseudolabrus	miles	8.3	AD	F	19.96666	8.3	37991372.0	39104.4990625	N	Pseudolabrus miles
GBISBRUVS36	Latridae	Nemadactylus macropterus	1	50.0	4.0	34.0	95.0	-36.006	175.5297	Vis poor ~3m. Should be some difficulty with measurements	39017.43541666667	39091.38791666667	39098.413668981484	39104.51332175926	Glenn Shiell	Nemadactylus	macropterus	8.8	AD	P	0.0	8.8	37991376.0	39104.499606481484	N	Nemadactylus macropterus
GBISBRUVS36	Labridae	Bodianus unimaculatus	1	50.0	4.0	34.0	95.0	-36.006	175.5297	Vis poor ~3m. Should be some difficulty with measurements	39017.43541666667	39091.38791666667	39098.413668981484	39104.51332175926	Glenn Shiell	Bodianus	unimaculatus	9.45	M	P	0.0	9.45	37384061.0	39104.50025462963	N	Bodianus unimaculatus
GBISBRUVS36	Labridae	Bodianus flavipinnis	1	50.0	4.0	34.0	95.0	-36.006	175.5297	Vis poor ~3m. Should be some difficulty with measurements	39017.43541666667	39091.38791666667	39098.413668981484	39104.51332175926	Glenn Shiell	Bodianus	flavipinnis	12.88333	AD	P	0.0	12.88333	37384035.0	39104.50146990741	N	Bodianus flavipinnis
GBISBRUVS36	Monacanthidae	Parika scaber	1	50.0	4.0	34.0	95.0	-36.006	175.5297	Vis poor ~3m. Should be some difficulty with measurements	39017.43541666667	39091.38791666667	39098.413668981484	39104.51332175926	Glenn Shiell	Parika	scaber	16.68333	AD	P	0.0	16.68333	37465005.0	39104.502280092594	N	Parika scaber
GBISBRUVS36	Squalidae	Squalus griffini	2	50.0	4.0	34.0	95.0	-36.006	175.5297	Vis poor ~3m. Should be some difficulty with measurements	39017.43541666667	39091.38791666667	39098.413668981484	39104.51332175926	Glenn Shiell	Squalus	griffini	21.01666	AD	P	0.0	28.5	37020007.0	39104.50510416667	N	Squalus griffini
GBISBRUVS36	Sparidae	Pagrus auratus	2	50.0	4.0	34.0	95.0	-36.006	175.5297	Vis poor ~3m. Should be some difficulty with measurements	39017.43541666667	39091.38791666667	39098.413668981484	39104.51332175926	Glenn Shiell	Pagrus	auratus	31.18333	AD	P	0.0	31.18333	37353001.0	39104.51138888889	N	Pagrus auratus
GBISBRUVS37	Labridae	Pseudolabrus miles	1	50.0	11.0	34.0	113.0	-37.9967	175.5432	Vis affected by silt, but otherwise around 5-10m	39017.47152777778	39091.38791666667	39098.517222222225	39098.54112268519	Glenn Shiell	Pseudolabrus	miles	6.6	AD	P	0.0	6.6	37991372.0	39098.5225462963	N	Pseudolabrus miles
GBISBRUVS37	Scorpaenidae	Helicolenus percoides	4	50.0	11.0	34.0	113.0	-37.9967	175.5432	Vis affected by silt, but otherwise around 5-10m	39017.47152777778	39091.38791666667	39098.517222222225	39098.54112268519	Glenn Shiell	Helicolenus	percoides	6.61666	AD	P	0.0	13.13333	37287001.0	39098.522881944446	N	Helicolenus percoides
GBISBRUVS37	Labridae	Bodianus unimaculatus	3	50.0	11.0	34.0	113.0	-37.9967	175.5432	Vis affected by silt, but otherwise around 5-10m	39017.47152777778	39091.38791666667	39098.517222222225	39098.54112268519	Glenn Shiell	Bodianus	unimaculatus	6.81666	F	P	0.0	12.95	37384061.0	39098.523252314815	N	Bodianus unimaculatus
GBISBRUVS37	Serranidae	Caesioperca lepidoptera	2	50.0	11.0	34.0	113.0	-37.9967	175.5432	Vis affected by silt, but otherwise around 5-10m	39017.47152777778	39091.38791666667	39098.517222222225	39098.54112268519	Glenn Shiell	Caesioperca	lepidoptera	6.96666	AD	P	0.0	6.96666	37311002.0	39098.52357638889	N	Caesioperca lepidoptera
GBISBRUVS37	Serranidae	Plectranthias maculicauda	2	50.0	11.0	34.0	113.0	-37.9967	175.5432	Vis affected by silt, but otherwise around 5-10m	39017.47152777778	39091.38791666667	39098.517222222225	39098.54112268519	Glenn Shiell	Plectranthias	maculicauda	7.2	AD	P	0.0	12.16666	37311107.0	39098.52392361111	N	Plectranthias maculicauda
GBISBRUVS37	Labridae	Bodianus flavipinnis	1	50.0	11.0	34.0	113.0	-37.9967	175.5432	Vis affected by silt, but otherwise around 5-10m	39017.47152777778	39091.38791666667	39098.517222222225	39098.54112268519	Glenn Shiell	Bodianus	flavipinnis	12.56666	AD	P	0.0	12.56666	37384035.0	39098.526712962965	N	Bodianus flavipinnis
GBISBRUVS37	Monacanthidae	Parika scaber	1	50.0	11.0	34.0	113.0	-37.9967	175.5432	Vis affected by silt, but otherwise around 5-10m	39017.47152777778	39091.38791666667	39098.517222222225	39098.54112268519	Glenn Shiell	Parika	scaber	13.83333	AD	P	0.0	13.83333	37465005.0	39098.52837962963	N	Parika scaber
GBISBRUVS37	Triakidae	Galeorhinus galeus	1	50.0	11.0	34.0	113.0	-37.9967	175.5432	Vis affected by silt, but otherwise around 5-10m	39017.47152777778	39091.38791666667	39098.517222222225	39098.54112268519	Glenn Shiell	Galeorhinus	galeus	17.7	AD	P	0.0	17.7	37017008.0	39098.53230324074	N	Galeorhinus galeus
GBISBRUVS37	Zeidae	Zeus faber	1	50.0	11.0	34.0	113.0	-37.9967	175.5432	Vis affected by silt, but otherwise around 5-10m	39017.47152777778	39091.38791666667	39098.517222222225	39098.54112268519	Glenn Shiell	Zeus	faber	19.11666	AD	P	0.0	19.11666	37264004.0	39098.53475694444	N	Zeus faber
GBISBRUVS37	Latridae	Nemadactylus macropterus	2	50.0	11.0	34.0	113.0	-37.9967	175.5432	Vis affected by silt, but otherwise around 5-10m	39017.47152777778	39091.38791666667	39098.517222222225	39098.54112268519	Glenn Shiell	Nemadactylus	macropterus	19.88333	AD	P	0.0	20.01666	37991376.0	39098.53530092593	N	Nemadactylus macropterus
GBISBRUVS37	Carangidae	Seriola lalandi	1	50.0	11.0	34.0	113.0	-37.9967	175.5432	Vis affected by silt, but otherwise around 5-10m	39017.47152777778	39091.38791666667	39098.517222222225	39098.54112268519	Glenn Shiell	Seriola	lalandi	24.1	AD	P	0.0	24.1	37337006.0	39098.53734953704	N	Seriola lalandi
GBISBRUVS37	Squalidae	Squalus griffini	1	50.0	11.0	34.0	113.0	-37.9967	175.5432	Vis affected by silt, but otherwise around 5-10m	39017.47152777778	39091.38791666667	39098.517222222225	39098.54112268519	Glenn Shiell	Squalus	griffini	27.28333	AD	P	0.0	27.28333	37020007.0	39098.53974537037	N	Squalus griffini
GBISBRUVS38	Serranidae	Plectranthias maculicauda	3	50.0	11.0	12.0	112.0	-37.9966	175.5412	5 m vis	39017.475694444445	39091.38791666667	39356.55417824074	39356.592314814814	Tim Langlois	Plectranthias	maculicauda	13.01666	AD	P	7.85	21.31666	37311107.0	39092.55517361111	N	Plectranthias maculicauda
GBISBRUVS38	Scorpaenidae	Helicolenus percoides	7	50.0	11.0	12.0	112.0	-37.9966	175.5412	5 m vis	39017.475694444445	39091.38791666667	39356.55417824074	39356.592314814814	Tim Langlois	Helicolenus	percoides	5.0	AD	P	0.0	10.08333	37287001.0	39092.55582175926	N	Helicolenus percoides
