Sample,Latitude,Longitude,Date,Time,Location,Status,Site,Depth,Observer,Successful.count,Successful.length,Comment,VISIBILITY,DATE_TIME,TIMEIN,TIMEOUT,BENTHOS,DETAIL.BENTHOS,RELIEF,DETIAL.RELIEF
9GC1-1,-32.02269251,115.4810697,20090704,07:20:00,Green.Island,Fished,GC1,6,BenP,Yes,Yes,NA,6,2009-07-04T07:20:00Z,1899-12-30T07:20:00Z,1899-12-30T08:20:00Z,KELP,ECK,HPR,HPR
9GC1-2,-32.02269251,115.4810697,20090704,07:45:00,Green.Island,Fished,GC1,6,BenP,Yes,Yes,MAC,7,2009-07-04T07:45:00Z,1899-12-30T07:45:00Z,1899-12-30T08:45:00Z,KELP,ECK,HPR,HPR
9GC1-3,-32.02269251,115.4810697,20090704,07:49:00,Green.Island,Fished,GC1,8,Ben S,Yes,Yes,SG,7,2009-07-04T07:49:00Z,1899-12-30T07:49:00Z,1899-12-30T08:49:00Z,SA,SA,SA,SA
9GC1-4,-32.02269251,115.4810697,20090704,07:30:00,Green.Island,Fished,GC1,11,Ben S,Yes,Yes,ECK,7,2009-07-04T07:30:00Z,1899-12-30T07:30:00Z,1899-12-30T08:30:00Z,MAC,MAC,MPR,MPR
9GC2-1,-32.02269251,115.4810697,20090704,07:25:00,Green.Island,Fished,GC2,13,BenP,Yes,Yes,SA,8,2009-07-04T07:25:00Z,1899-12-30T07:25:00Z,1899-12-30T08:25:00Z,MAC,MAC,MPR,MPR
9GC2-2,-32.02269251,115.4810697,20090704,08:53:00,Green.Island,Fished,GC2,8,Bryce,Yes,Yes,ECK,7,2009-07-04T08:53:00Z,1899-12-30T08:53:00Z,1899-12-30T09:53:00Z,MAC,MAC,MPR,MPR
9GC2-3,-32.02269251,115.4810697,20090704,07:33:00,Green.Island,Fished,GC2,12,Sam,Yes,Yes,SA,8,2009-07-04T07:33:00Z,1899-12-30T07:33:00Z,1899-12-30T08:33:00Z,MAC,MAC,HPR,HPR
9GC2-4,-32.02269251,115.4810697,20090704,07:41:00,Green.Island,Fished,GC2,6,Sam,Yes,Yes,NA,7,2009-07-04T07:41:00Z,1899-12-30T07:41:00Z,1899-12-30T08:41:00Z,KELP,ECK,LPR,LPR
9GC3-1,-32.02119923,115.5122283,20090704,10:10:00,Green.Island,Fished,GC3,7,Sam,Yes,Yes,SA,8,2009-07-04T10:10:00Z,1899-12-30T10:10:00Z,1899-12-30T11:10:00Z,KELP,ECK,HPR,HPR
9GC3-2,-32.02119923,115.5122283,20090704,11:03:00,Green.Island,Fished,GC3,5,Bryce,Yes,Yes,MAC,7,2009-07-04T11:03:00Z,1899-12-30T11:03:00Z,1899-12-30T12:03:00Z,SA,SA,SA,SIR
9GC3-3,-32.02119923,115.5122283,20090704,11:07:00,Green.Island,Fished,GC3,10,Ben S,Yes,Yes,ECK,8,2009-07-04T11:07:00Z,1899-12-30T11:07:00Z,1899-12-30T12:07:00Z,MAC,MAC,HPR,HPR
9GC3-4,-32.02119923,115.5122283,20090704,11:10:00,Green.Island,Fished,GC3,6,Sam,Yes,Yes,MAC,6,2009-07-04T11:10:00Z,1899-12-30T11:10:00Z,1899-12-30T12:10:00Z,SA,SA,SA,HPR
9GC4-1,-32.02119923,115.5122283,20090704,10:14:00,Green.Island,Fished,GC4,8,Sam,Yes,Yes,ECK,6,2009-07-04T10:14:00Z,1899-12-30T10:14:00Z,1899-12-30T11:14:00Z,SA,SA,SA,HPR
9GC4-2,-32.02119923,115.5122283,20090704,10:18:00,Green.Island,Fished,GC4,7,NA,Yes,Yes,SA,7,2009-07-04T10:18:00Z,1899-12-30T10:18:00Z,1899-12-30T11:18:00Z,MAC,MAC,MPR,MPR
9GC4-3,-32.02119923,115.5122283,20090704,10:21:00,Green.Island,Fished,GC4,10,Bryce,Yes,Yes,MAC,6,2009-07-04T10:21:00Z,1899-12-30T10:21:00Z,1899-12-30T11:21:00Z,KELP,ECK,MPR,MPR
9GC4-4,-32.02119923,115.5122283,20090704,11:00:00,Green.Island,Fished,GC4,6,BenP,Yes,Yes,SA,7,2009-07-04T11:00:00Z,1899-12-30T11:00:00Z,1899-12-30T12:00:00Z,MAC,MAC,MPR,MPR
9GR1-1,-32.02166455,115.5034323,20090704,09:30:00,Green.Island,No-take,GR1,12,BenP,Yes,Yes,NA,6,2009-07-04T09:30:00Z,1899-12-30T09:30:00Z,1899-12-30T10:30:00Z,KELP,ECK,MPR,MPR
9GR1-2,-32.02166455,115.5034323,20090704,09:32:00,Green.Island,No-take,GR1,12,Ben S,Yes,Yes,MAC,8,2009-07-04T09:32:00Z,1899-12-30T09:32:00Z,1899-12-30T10:32:00Z,SA,SA,SA,SIR
9GR1-3,-32.02166455,115.5034323,20090704,09:35:00,Green.Island,No-take,GR1,8,Bryce,Yes,Yes,MAC,7,2009-07-04T09:35:00Z,1899-12-30T09:35:00Z,1899-12-30T10:35:00Z,KELP,ECK,MPR,MPR
9GR1-4,-32.02166455,115.5034323,20090704,07:55:00,Green.Island,No-take,GR1,14,Sam,Yes,Yes,SG,7,2009-07-04T07:55:00Z,1899-12-30T07:55:00Z,1899-12-30T08:55:00Z,SA,SA,SA,SA
9GR2-1,-32.02166455,115.5034323,20090704,08:45:00,Green.Island,No-take,GR2,13,Bryce,Yes,Yes,SG,7,2009-07-04T08:45:00Z,1899-12-30T08:45:00Z,1899-12-30T09:45:00Z,SA,SA,SA,SA
9GR2-2,-32.02166455,115.5034323,20090704,08:47:00,Green.Island,No-take,GR2,6,Bryce,No,No,NA,7,2009-07-04T08:47:00Z,1899-12-30T08:47:00Z,1899-12-30T09:47:00Z,UNKNOWN,NA,UNKNOWN,NA
9GR2-3,-32.02166455,115.5034323,20090704,08:51:00,Green.Island,No-take,GR2,7,Bryce,Yes,Yes,MAC,7,2009-07-04T08:51:00Z,1899-12-30T08:51:00Z,1899-12-30T09:51:00Z,KELP,ECK,MPR,MPR
9GR2-4,-32.02166455,115.5034323,20090704,09:38:00,Green.Island,No-take,GR2,18,Russ,Yes,Yes,MAC,6,2009-07-04T09:38:00Z,1899-12-30T09:38:00Z,1899-12-30T10:38:00Z,KELP,ECK,LPR,LPR
9KC1-1,-32.00922502,115.5632983,20090702,14:42:00,Kingston,Fished,KC1,7,Bryce,Yes,Yes,SA,6,2009-07-02T14:42:00Z,1899-12-30T14:42:00Z,1899-12-30T15:42:00Z,SG,SG,SA,SA
9KC1-2,-32.00922502,115.5632983,20090702,14:50:00,Kingston,Fished,KC1,4,Bryce,Yes,Yes,SA,6,2009-07-02T14:50:00Z,1899-12-30T14:50:00Z,1899-12-30T15:50:00Z,MAC,MAC,SIR,SIR
9KC1-3,-32.00922502,115.5632983,20090702,15:00:00,Kingston,Fished,KC1,5,Bryce,Yes,Yes,SG,5,2009-07-02T15:00:00Z,1899-12-30T15:00:00Z,1899-12-30T16:00:00Z,SA,SA,SA,SA
9KC1-4,-32.00922502,115.5632983,20090702,15:55:00,Kingston,Fished,KC1,8,Bryce,Yes,Yes,MAC,5,2009-07-02T15:55:00Z,1899-12-30T15:55:00Z,1899-12-30T16:55:00Z,SA,SA,SA,SIR
9KC2-1,-32.00922502,115.5632983,20090702,13:30:00,Kingston,Fished,KC2,6,BenP,Yes,No,SA,5,2009-07-02T13:30:00Z,1899-12-30T13:30:00Z,1899-12-30T14:30:00Z,MAC,MAC,LPR,LPR
9KC2-2,-32.00922502,115.5632983,20090702,13:40:00,Kingston,Fished,KC2,9,Bryce,Yes,No,SG,4,2009-07-02T13:40:00Z,1899-12-30T13:40:00Z,1899-12-30T14:40:00Z,SA,SA,SA,SA
9KC2-3,-32.00922502,115.5632983,20090702,13:50:00,Kingston,Fished,KC2,6,Sam,Yes,Yes,NA,5,2009-07-02T13:50:00Z,1899-12-30T13:50:00Z,1899-12-30T14:50:00Z,SG,SG,SA,SA
9KC2-4,-32.00922502,115.5632983,20090702,14:15:00,Kingston,Fished,KC2,8,Sam,Yes,Yes,NA,4,2009-07-02T14:15:00Z,1899-12-30T14:15:00Z,1899-12-30T15:15:00Z,SG,SG,SA,SA
9KC3-1,-31.98675933,115.544321,20090703,15:25:00,Kingston,Fished,KC3,7,BenP,Yes,Yes,MAC,6,2009-07-03T15:25:00Z,1899-12-30T15:25:00Z,1899-12-30T16:25:00Z,SA,SA,SA,SIR
9KC3-2,-31.98675933,115.544321,20090703,15:30:00,Kingston,Fished,KC3,4,Jordan,Yes,Yes,MAC,5,2009-07-03T15:30:00Z,1899-12-30T15:30:00Z,1899-12-30T16:30:00Z,SA,SA,SA,LPR
9KC3-3,-31.98675933,115.544321,20090703,15:33:00,Kingston,Fished,KC3,5,Ben S,Yes,Yes,MAC,6,2009-07-03T15:33:00Z,1899-12-30T15:33:00Z,1899-12-30T16:33:00Z,SA,SA,SA,SIR
9KC3-4,-31.98675933,115.544321,20090703,15:35:00,Kingston,Fished,KC3,8,Ben S,Yes,Yes,SA,6,2009-07-03T15:35:00Z,1899-12-30T15:35:00Z,1899-12-30T16:35:00Z,MAC,MAC,MPR,MPR
9KC4-1,-31.98675933,115.544321,20090705,11:37:00,Kingston,Fished,KC4,8,Laura,Yes,Yes,MAC,6,2009-07-05T11:37:00Z,1899-12-30T11:37:00Z,1899-12-30T12:37:00Z,SA,SA,SA,HPR
9KC4-2,-31.98675933,115.544321,20090705,11:39:00,Kingston,Fished,KC4,6,Laura,Yes,Yes,ECK,7,2009-07-05T11:39:00Z,1899-12-30T11:39:00Z,1899-12-30T12:39:00Z,SA,SA,SA,MPR
9KC4-3,-31.98675933,115.544321,20090705,11:43:00,Kingston,Fished,KC4,10,Ben S,Yes,Yes,NA,6,2009-07-05T11:43:00Z,1899-12-30T11:43:00Z,1899-12-30T12:43:00Z,SA,SA,SA,SA
9KC4-4,-31.98675933,115.544321,20090705,11:47:00,Kingston,Fished,KC4,9,Laura,Yes,Yes,ECK,6,2009-07-05T11:47:00Z,1899-12-30T11:47:00Z,1899-12-30T12:47:00Z,MAC,MAC,MPR,MPR
9KR1-1,-31.99074971,115.5608568,20090702,16:05:00,Kingston,No-take,KR1,4,Ben S,Yes,Yes,NA,6,2009-07-02T16:05:00Z,1899-12-30T16:05:00Z,1899-12-30T17:05:00Z,SG,SG,SA,SA
9KR1-2,-31.99074971,115.5608568,20090702,16:10:00,Kingston,No-take,KR1,4,Sam,Yes,Yes,NA,6,2009-07-02T16:10:00Z,1899-12-30T16:10:00Z,1899-12-30T17:10:00Z,MAC,MAC,LPR,LPR
9KR1-3,-31.99074971,115.5608568,20090702,16:15:00,Kingston,No-take,KR1,5,Sam,Yes,Yes,SA,6,2009-07-02T16:15:00Z,1899-12-30T16:15:00Z,1899-12-30T17:15:00Z,MAC,MAC,SIR,SIR
9KR1-4,-31.99074971,115.5608568,20090702,16:30:00,Kingston,No-take,KR1,5,Ben S,Yes,Yes,SA,5,2009-07-02T16:30:00Z,1899-12-30T16:30:00Z,1899-12-30T17:30:00Z,MAC,MAC,MPR,MPR
9KR2-1,-31.99074971,115.5608568,20090705,11:22:00,Kingston,No-take,KR2,4,Laura,Yes,Yes,SA,8,2009-07-05T11:22:00Z,1899-12-30T11:22:00Z,1899-12-30T12:22:00Z,SG,SG,SA,SA
