"project","campaignid","sample","latitude","longitude","date","time","location","status","site","depth","observer","successful.count","successful.length","comment"
"Port Stephens-Great Lakes Marine Park MER Program","2009-08_PSGLMP_BRUVs","BH01","-32.06488833","152.5705217","20090801","09:00:00","Black.Head","Fished","Black.Head","26","DH","Yes","No",NA
"Port Stephens-Great Lakes Marine Park MER Program","2009-08_PSGLMP_BRUVs","BH02","-32.06542167","152.5670233","20090801","09:00:00","Black.Head","Fished","Black.Head","25","DH","Yes","No",NA
"Port Stephens-Great Lakes Marine Park MER Program","2009-08_PSGLMP_BRUVs","BH04","-32.06815","152.5663133","20090801","09:00:00","Black.Head","Fished","Black.Head","21","DH","Yes","No",NA
"Port Stephens-Great Lakes Marine Park MER Program","2009-08_PSGLMP_BRUVs","BH05","-32.07095167","152.5675983","20090801","09:00:00","Black.Head","Fished","Black.Head","23","DH","Yes","No",NA
"Port Stephens-Great Lakes Marine Park MER Program","2009-08_PSGLMP_BRUVs","BIHPZ01","-32.632885","152.313255","20090801","09:00:00","Broughton.Island","Fished","Broughton.Island","25.5","DH","Yes","No",NA
"Port Stephens-Great Lakes Marine Park MER Program","2009-08_PSGLMP_BRUVs","BIHPZ02","-32.634585","152.312395","20090801","09:00:00","Broughton.Island","Fished","Broughton.Island","26","DH","Yes","No",NA
"Port Stephens-Great Lakes Marine Park MER Program","2009-08_PSGLMP_BRUVs","BIHPZ03","-32.63403167","152.3098133","20090801","09:00:00","Broughton.Island","Fished","Broughton.Island","27","DH","Yes","No",NA
"Port Stephens-Great Lakes Marine Park MER Program","2009-08_PSGLMP_BRUVs","BIHPZ04","-32.63416","152.30658","20090801","09:00:00","Broughton.Island","Fished","Broughton.Island","24.5","DH","Yes","No",NA
"Port Stephens-Great Lakes Marine Park MER Program","2009-08_PSGLMP_BRUVs","BIHPZ05","-32.6361","152.30663","20090801","09:00:00","Broughton.Island","Fished","Broughton.Island","26.5","DH","Yes","No",NA
"Port Stephens-Great Lakes Marine Park MER Program","2009-08_PSGLMP_BRUVs","BIHPZ06","-32.63503","152.30496","20090801","09:00:00","Broughton.Island","Fished","Broughton.Island","24.5","DH","Yes","No",NA
"Port Stephens-Great Lakes Marine Park MER Program","2009-08_PSGLMP_BRUVs","BIHPZ07","-32.63355","152.30363","20090801","09:00:00","Broughton.Island","Fished","Broughton.Island","22","DH","Yes","No",NA
"Port Stephens-Great Lakes Marine Park MER Program","2009-08_PSGLMP_BRUVs","BIHPZ08","-32.63181","152.3036","20090801","09:00:00","Broughton.Island","Fished","Broughton.Island","24","DH","Yes","No",NA
"Port Stephens-Great Lakes Marine Park MER Program","2009-08_PSGLMP_BRUVs","BIHPZ09","-32.63073","152.30175","20090801","09:00:00","Broughton.Island","Fished","Broughton.Island","23","DH","Yes","No",NA
"Port Stephens-Great Lakes Marine Park MER Program","2009-08_PSGLMP_BRUVs","BISZ02","-32.62791833","152.3361917","20090801","09:00:00","Broughton.Island","No-take","Broughton.Island","34.8","DH","Yes","No",NA
"Port Stephens-Great Lakes Marine Park MER Program","2009-08_PSGLMP_BRUVs","BISZ03","-32.62456833","152.33951","20090801","09:00:00","Broughton.Island","No-take","Broughton.Island","32.3","DH","Yes","No",NA
"Port Stephens-Great Lakes Marine Park MER Program","2009-08_PSGLMP_BRUVs","BISZ04","-32.622195","152.3384867","20090801","09:00:00","Broughton.Island","No-take","Broughton.Island","28","DH","Yes","No",NA
"Port Stephens-Great Lakes Marine Park MER Program","2009-08_PSGLMP_BRUVs","BISZ05","-32.61938833","152.3385133","20090801","09:00:00","Broughton.Island","No-take","Broughton.Island","29","DH","Yes","No",NA
"Port Stephens-Great Lakes Marine Park MER Program","2009-08_PSGLMP_BRUVs","BISZ06","-32.61762833","152.3374617","20090801","09:00:00","Broughton.Island","No-take","Broughton.Island","30","DH","Yes","No",NA
"Port Stephens-Great Lakes Marine Park MER Program","2009-08_PSGLMP_BRUVs","BISZ07","-32.61544667","152.3368333","20090801","09:00:00","Broughton.Island","No-take","Broughton.Island","30","DH","Yes","No",NA
