"project","campaignid","sample","latitude","longitude","date","time","location","status","site","depth","observer","successful.count","successful.length","comment"
"Pilbara Marine Conservation Partnership","2015-01_Montebello.transect_stereoBRUVs","NCB638","-20.347","115.47483","20150118","9:01:00","N.Montebello.Sanctuary","No-take",NA,"32.5","Katrina","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2015-01_Montebello.transect_stereoBRUVs","NCB639","-20.335","115.47058","20150118","9:07:00","N.Montebello.Sanctuary","Fished",NA,"36.3","Todd","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2015-01_Montebello.transect_stereoBRUVs","NCB640","-20.327","115.4639","20150118","9:11:00","N.Montebello.Sanctuary","Fished",NA,"42.1","Todd","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2015-01_Montebello.transect_stereoBRUVs","NCB641","-20.323","115.45317","20150118","9:16:00","Montebello","Fished",NA,"40.2","Todd","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2015-01_Montebello.transect_stereoBRUVs","NCB642","-20.313","115.45093","20150118","9:21:00","Montebello","Fished",NA,"37","Todd","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2015-01_Montebello.transect_stereoBRUVs","NCB643","-20.304","115.44852","20150118","9:25:00","Montebello","Fished",NA,"41.7","Todd","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2015-01_Montebello.transect_stereoBRUVs","NCB644","-20.297","115.44248","20150118","9:28:00","Montebello","Fished",NA,"37.5","Todd","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2015-01_Montebello.transect_stereoBRUVs","NCB645","-20.287","115.43472","20150118","9:36:00","Montebello","Fished",NA,"41.5","Todd","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2015-01_Montebello.transect_stereoBRUVs","NCB646","-20.293","115.46864","20150118","11:40:00","Montebello","Fished",NA,"37.9","Todd","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2015-01_Montebello.transect_stereoBRUVs","NCB647","-20.286","115.47399","20150118","11:45:00","Montebello","Fished",NA,"35.1","Todd","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2015-01_Montebello.transect_stereoBRUVs","NCB648","-20.275","115.47544","20150118","11:48:00","Montebello","Fished",NA,"36.9","Todd","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2015-01_Montebello.transect_stereoBRUVs","NCB649","-20.264","115.47558","20150118","11:54:00","Montebello","Fished",NA,"42.4","Katrina","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2015-01_Montebello.transect_stereoBRUVs","NCB650","-20.255","115.46988","20150118","11:57:00","Montebello","Fished",NA,"40.8","Katrina","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2015-01_Montebello.transect_stereoBRUVs","NCB651","-20.249","115.46059","20150118","12:01:00","Montebello","Fished",NA,"40.8","Katrina","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2015-01_Montebello.transect_stereoBRUVs","NCB652","-20.244","115.452","20150118","12:06:00","Montebello","Fished",NA,"42.4","Katrina","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2015-01_Montebello.transect_stereoBRUVs","NCB653","-20.238","115.44558","20150118","12:11:00","Montebello","Fished",NA,"41.1","Katrina","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2015-01_Montebello.transect_stereoBRUVs","NCB654","-20.23","115.44186","20150118","12:15:00","Montebello","Fished",NA,"44.6","Katrina","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2015-01_Montebello.transect_stereoBRUVs","NCB655","-20.216","115.43804","20150118","12:21:00","Montebello","Fished",NA,"39.5","Katrina","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2015-01_Montebello.transect_stereoBRUVs","NCB656","-20.212","115.41182","20150118","14:29:00","Montebello","Fished",NA,"45.6","Katrina","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2015-01_Montebello.transect_stereoBRUVs","NCB657","-20.211","115.40549","20150118","14:32:00","Montebello","Fished",NA,"34.6","Todd","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2015-01_Montebello.transect_stereoBRUVs","NCB658","-20.209","115.4014","20150118","14:34:00","Montebello","Fished",NA,"43.8","Todd","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2015-01_Montebello.transect_stereoBRUVs","NCB659","-20.2","115.4004","20150118","14:39:00","Montebello","Fished",NA,"41.4","Todd","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2015-01_Montebello.transect_stereoBRUVs","NCB660","-20.19","115.40096","20150118","14:42:00","Montebello","Fished",NA,"44.4","Todd","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2015-01_Montebello.transect_stereoBRUVs","NCB661","-20.181","115.40126","20150118","14:46:00","Montebello","Fished",NA,"45.8","Todd","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2015-01_Montebello.transect_stereoBRUVs","NCB662","-20.173","115.39799","20150118","14:50:00","Montebello","Fished",NA,"55.6","Todd","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2015-01_Montebello.transect_stereoBRUVs","NCB663","-20.164","115.39062","20150118","14:55:00","Montebello","Fished",NA,"64","Todd","Yes","No",NA
"Pilbara Marine Conservation Partnership","2015-01_Montebello.transect_stereoBRUVs","NCB664","-20.159","115.38199","20150118","15:00:00","Montebello","Fished",NA,"56.5","Todd","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2015-01_Montebello.transect_stereoBRUVs","NCB665","-20.151","115.37592","20150118","15:04:00","Montebello","Fished",NA,"52.5","Todd","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2015-01_Montebello.transect_stereoBRUVs","NCB666","-20.388","115.58931","20150119","8:16:00","Montebello","Fished",NA,"39","Matt","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2015-01_Montebello.transect_stereoBRUVs","NCB667","-20.382","115.59217","20150119","8:21:00","Montebello","Fished",NA,"40.8","Matt","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2015-01_Montebello.transect_stereoBRUVs","NCB668","-20.374","115.59672","20150119","8:25:00","Montebello","Fished",NA,"43.8","Matt","Yes","Yes",NA
