"","campaignid","family","genus","species","family_correct","genus_correct","species_correct"
"45","2015-09_Mackerel.Islands.shallow_stereoBRUVs","Haemulidae","Diagramma","pictum","Haemulidae","Diagramma","pictum labiosum"
"46","2015-09_Mackerel.Islands.shallow_stereoBRUVs","Rhynchobatidae","Rhynchobatus","australiae","Rhinidae","Rhynchobatus","australiae"
"47","2015-09_Mackerel.Islands.shallow_stereoBRUVs","Latidae","Psammoperca","waigiensis","Latidae","Psammoperca","datnioides"
"48","2015-09_Mackerel.Islands.shallow_stereoBRUVs","Haemulidae","Plectorhinchus","unicolor","Haemulidae","Plectorhinchus","schotaf"
"49","2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","Muraenidae","Gymnothorax","thrysoideus","Muraenidae","Gymnothorax","thyrsoideus"
"50","2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","Dasyatidae","Himantura","jenkinsii","Dasyatidae","Pateobatis","jenkinsii"
"51","2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","Labridae","Oxycheilinus","rhodochrous","Labridae","Oxycheilinus","orientalis"
"52","2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","Dasyatidae","Himantura","jenkinsii","Dasyatidae","Pateobatis","jenkinsii"
"53","2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","Dasyatidae","Himantura","fai","Dasyatidae","Pateobatis","fai"
"54","2014-10_Montebello.sanctuaries_stereoBRUVs","Latidae","Psammoperca","waigiensis","Latidae","Psammoperca","datnioides"
"55","2014-10_Montebello.sanctuaries_stereoBRUVs","Muraenidae","Gymnothorax","thrysoideus","Muraenidae","Gymnothorax","thyrsoideus"
"56","2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","Muraenidae","Gymnothorax","thrysoideus","Muraenidae","Gymnothorax","thyrsoideus"
"57","2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","Rhynchobatidae","Rhynchobatus","australiae","Rhinidae","Rhynchobatus","australiae"
"58","2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","Muraenidae","Gymnothorax","rueppellii","Muraenidae","Gymnothorax","rueppelliae"
"59","2015-01_Montebello.transect_stereoBRUVs","Muraenidae","Gymnothorax","thrysoideus","Muraenidae","Gymnothorax","thyrsoideus"
"60","2015-09_Dampier.Archipelago_stereoBRUVs","Dasyatidae","Himantura","fai","Dasyatidae","Pateobatis","fai"
"61","2015-09_Exmouth.Gulf_stereoBRUVs","Muraenidae","Gymnothorax","thrysoideus","Muraenidae","Gymnothorax","thyrsoideus"
