"","campaignid","family","genus","species","family_correct","genus_correct","species_correct"
"44","2015-09_Dampier.Archipelago_stereoBRUVs","Dasyatidae","Himantura","fai","Dasyatidae","Pateobatis","fai"
"45","2015-09_Dampier.transect_stereoBRUVs","Rhinobatidae","Glaucostegus","typus","Glaucostegidae","Glaucostegus","typus"
"46","2015-09_Dampier.transect_stereoBRUVs","Rhynchobatidae","Rhynchobatus","australiae","Rhinidae","Rhynchobatus","australiae"
"47","2015-09_Dampier.transect_stereoBRUVs","Muraenidae","Gymnothorax","thrysoideus","Muraenidae","Gymnothorax","thyrsoideus"
"48","2015-09_Dampier.transect_stereoBRUVs","Labridae","Oxycheilinus","rhodochrous","Labridae","Oxycheilinus","orientalis"
"49","2015-09_Dampier.transect_stereoBRUVs","Haemulidae","Diagramma","pictum","Haemulidae","Diagramma","pictum labiosum"
"50","2015-09_Exmouth.Gulf_stereoBRUVs","Dasyatidae","Himantura","granulata","Dasyatidae","Urogymnus","granulatus"
"51","2015-09_Exmouth.Gulf_stereoBRUVs","Latidae","Psammoperca","waigiensis","Latidae","Psammoperca","datnioides"
"52","2015-09_Exmouth.Gulf_stereoBRUVs","Rhynchobatidae","Rhynchobatus","australiae","Rhinidae","Rhynchobatus","australiae"
"53","2015-09_Exmouth.Gulf_stereoBRUVs","Rhinobatidae","Glaucostegus","typus","Glaucostegidae","Glaucostegus","typus"
"54","2015-09_Exmouth.Gulf_stereoBRUVs","Dasyatidae","Himantura","fai","Dasyatidae","Pateobatis","fai"
"55","2015-09_Exmouth.Gulf_stereoBRUVs","Haemulidae","Diagramma","pictum","Haemulidae","Diagramma","pictum labiosum"
"56","2015-09_Exmouth.Gulf_stereoBRUVs","Muraenidae","Gymnothorax","thrysoideus","Muraenidae","Gymnothorax","thyrsoideus"
"57","2015-09_Mackerel.Islands.shallow_stereoBRUVs","Haemulidae","Diagramma","pictum","Haemulidae","Diagramma","pictum labiosum"
"58","2015-09_Mackerel.Islands.shallow_stereoBRUVs","Carangidae","Chanos","chanos","Chanidae","Chanos","chanos"
"59","2015-09_Mackerel.Islands.shallow_stereoBRUVs","Haemulidae","Plectorhinchus","unicolor","Haemulidae","Plectorhinchus","schotaf"
"60","2015-09_Mackerel.Islands.shallow_stereoBRUVs","Latidae","Psammoperca","waigiensis","Latidae","Psammoperca","datnioides"
"61","2015-09_Mackerel.Islands.shallow_stereoBRUVs","Rhynchobatidae","Rhynchobatus","australiae","Rhinidae","Rhynchobatus","australiae"
