"campaignid","sample","family","genus","species","maxn","stereo.maxn","difference","percent.difference"
"2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","NCB341","Pomacentridae","Dascyllus","trimaculatus",5,2,3,60
"2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","NCB346","Pomacentridae","Pomacentrus","coelestis",29,26,3,10.3448275862069
"2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","NCB350","Labridae","Thalassoma","lunare",7,10,3,42.8571428571429
"2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","NCB372","Caesionidae","Pterocaesio","tile",6,3,3,50
"2015-01_Montebello.transect_stereoBRUVs","NCB613","Labridae","Anampses","lennardi",3,6,3,100
"2015-01_Montebello.transect_stereoBRUVs","NCB614","Labridae","Leptojulis","cyanopleura",5,2,3,60
"2015-01_Montebello.transect_stereoBRUVs","NCB628","Carangidae","Gnathanodon","speciosus",9,12,3,33.3333333333333
"2015-01_Montebello.transect_stereoBRUVs","NCB632","Haemulidae","Diagramma","labiosum",0,3,3,Inf
"2015-09_Dampier.Archipelago_stereoBRUVs","NCB1560","Labridae","Leptojulis","chrysotaenia",0,3,3,Inf
"2015-09_Dampier.transect_stereoBRUVs","NCB1482","Labridae","Oxycheilinus","rhodochrous",0,3,3,Inf
"2015-09_Dampier.transect_stereoBRUVs","NCB1493","Labridae","Oxycheilinus","rhodochrous",0,3,3,Inf
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB102","Haemulidae","Diagramma","labiosum",0,2,2,Inf
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB115","Apogonidae","Apogon","doederleini",0,2,2,Inf
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB163","Labridae","Choerodon","schoenleinii",3,1,2,66.6666666666667
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB163","Pomacentridae","Pomacentrus","coelestis",13,11,2,15.3846153846154
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB180","Tetraodontidae","Canthigaster","coronata",0,2,2,Inf
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB186","Labridae","Halichoeres","nebulosus",8,6,2,25
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB190","Lethrinidae","Lethrinus","variegatus",43,41,2,4.65116279069767
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB192","Lethrinidae","Lethrinus","miniatus",10,8,2,20
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB192","Pomacentridae","Pomacentrus","coelestis",71,69,2,2.8169014084507
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB208","Pomacanthidae","Pomacanthus","semicirculatus",3,1,2,66.6666666666667
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB214","Labridae","Thalassoma","lutescens",8,10,2,25
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB215","Labridae","Hologymnosus","annulatus",2,4,2,100
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB22","Carangidae","Atule","mate",5,3,2,40
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB223","Carangidae","Unknown","spp",47,49,2,4.25531914893617
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB252","Tetraodontidae","Canthigaster","coronata",0,2,2,Inf
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB259","Labridae","Coris","batuensis",0,2,2,Inf
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB28","Haemulidae","Diagramma","labiosum",0,2,2,Inf
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB47","Labridae","Anampses","lennardi",8,6,2,25
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB55","Synodontidae","Trachinocephalus","myops",0,2,2,Inf
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB76","Synodontidae","Trachinocephalus","myops",0,2,2,Inf
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB77","Haemulidae","Diagramma","labiosum",0,2,2,Inf
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB92","Synodontidae","Trachinocephalus","myops",0,2,2,Inf
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB97","Dasyatidae","Neotrygon","kuhlii",0,2,2,Inf
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB386","Haemulidae","Diagramma","pictum",0,2,2,Inf
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB396","Pseudochromidae","Oxycercichthys","veliferus",0,2,2,Inf
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB422","Carangidae","Carangoides","fulvoguttatus",0,2,2,Inf
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB426","Haemulidae","Diagramma","pictum",0,2,2,Inf
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB433","Tetraodontidae","Lagocephalus","lunaris",4,2,2,50
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB442","Tetraodontidae","Lagocephalus","lunaris",3,1,2,66.6666666666667
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB445","Tetraodontidae","Lagocephalus","lunaris",6,4,2,33.3333333333333
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB447","Labridae","Oxycheilinus","rhodochrous",0,2,2,Inf
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB468","Haemulidae","Diagramma","pictum",0,2,2,Inf
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB470","Dasyatidae","Neotrygon","kuhlii",0,2,2,Inf
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB483","Echeneidae","Echeneis","naucrates",3,1,2,66.6666666666667
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB507","Haemulidae","Diagramma","pictum",0,2,2,Inf
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB513","Labridae","Oxycheilinus","rhodochrous",0,2,2,Inf
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB531","Haemulidae","Diagramma","labiosum",0,2,2,Inf
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB563","Chaetodontidae","Chaetodon","unimaculatus",4,2,2,50
"2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","NCB281","Carangidae","Alepes","vari",13,11,2,15.3846153846154
"2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","NCB284","Labridae","Hologymnosus","annulatus",3,5,2,66.6666666666667
"2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","NCB306","Echeneidae","Echeneis","naucrates",3,1,2,66.6666666666667
"2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","NCB310","Labridae","Thalassoma","lutescens",5,7,2,40
"2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","NCB322","Lethrinidae","Lethrinus","variegatus",14,12,2,14.2857142857143
"2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","NCB325","Labridae","Bodianus","bilunulatus",3,1,2,66.6666666666667
"2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","NCB328","Carangidae","Carangoides","fulvoguttatus",3,1,2,66.6666666666667
"2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","NCB330","Carangidae","Atule","mate",3,1,2,66.6666666666667
"2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","NCB331","Unknown","Unknown","spp",0,2,2,Inf
"2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","NCB338","Pomacentridae","Dascyllus","trimaculatus",3,1,2,66.6666666666667
"2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","NCB344","Haemulidae","Diagramma","labiosum",0,2,2,Inf
"2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","NCB364","Caesionidae","Pterocaesio","tile",191,189,2,1.04712041884817
"2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","NCB372","Pomacentridae","Pomacentrus","milleri",3,1,2,66.6666666666667
"2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","NCB374","Acanthuridae","Acanthurus","olivaceus",9,11,2,22.2222222222222
"2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","NCB381","Pomacentridae","Dascyllus","reticulatus",3,1,2,66.6666666666667
"2015-01_Montebello.transect_stereoBRUVs","NCB613","Serranidae","Unknown","spp",0,2,2,Inf
"2015-01_Montebello.transect_stereoBRUVs","NCB635","Hydrophiidae","Aipysurus","laevis",0,2,2,Inf
"2015-01_Montebello.transect_stereoBRUVs","NCB653","Carangidae","Atule","mate",14,12,2,14.2857142857143
"2015-01_Montebello.transect_stereoBRUVs","NCB712","Labridae","Cirrhilabrus","temminckii",4,6,2,50
"2015-01_Montebello.transect_stereoBRUVs","NCB712","Tetraodontidae","Canthigaster","coronata",0,2,2,Inf
"2015-01_Montebello.transect_stereoBRUVs","NCB713","Labridae","Cirrhilabrus","temminckii",3,5,2,66.6666666666667
