"campaignid","sample","family","genus","species","length"
"2013-08_PSGLMP_StereoBRUVs","LS05","Sparidae","Pagrus","auratus",1026.40754
"2013-08_PSGLMP_StereoBRUVs","OG06","Odontaspididae","Carcharias","taurus",1637.71417
"2015-07_PSGLMP_StereoBRUVs","BIHPZ16","Sparidae","Pagrus","auratus",2577.78559
"2016-08_PSGLMP_StereoBRUVs","BIHPZ18","Carcharhinidae","Carcharhinus","sp",1219.46474
"2017-Winter-PSGLMP-StereoBRUVs","BS13","Carangidae","Seriola","lalandi",1052.29575
"2016-02_PSGLMP_StereoBRUVs","BISZ01","Carcharhinidae","Carcharhinus","sp",1339.70055
