"campaignid","sample","family","genus","species","length"
"2015-01_Montebello.transect_stereoBRUVs","NCB637","Carcharhinidae","Carcharhinus","limbatus",1491.37314
"2015-01_Montebello.transect_stereoBRUVs","NCB625","Dasyatidae","Taeniurops","meyeni",1045.52387
"2015-01_Montebello.transect_stereoBRUVs","NCB649","Carcharhinidae","Carcharhinus","amboinensis",1635.88902
"2015-01_Montebello.transect_stereoBRUVs","NCB681","Rhynchobatidae","Rhynchobatus","australiae",1225.67139
"2015-01_Montebello.transect_stereoBRUVs","NCB630","Carcharhinidae","Carcharhinus","plumbeus",1643.78926
"2015-01_Montebello.transect_stereoBRUVs","NCB712","Ginglymostomatidae","Nebrius","ferrugineus",1907.11469
"2015-01_Montebello.transect_stereoBRUVs","NCB621","Carcharhinidae","Carcharhinus","amblyrhynchos",1189.55355
"2015-01_Montebello.transect_stereoBRUVs","NCB635","Serranidae","Epinephelus","malabaricus",1117.09893
"2015-01_Montebello.transect_stereoBRUVs","NCB624","Ginglymostomatidae","Nebrius","ferrugineus",1907.37982
"2015-01_Montebello.transect_stereoBRUVs","NCB697","Carcharhinidae","Carcharhinus","plumbeus",1153.12069
"2015-01_Montebello.transect_stereoBRUVs","NCB711","Ginglymostomatidae","Nebrius","ferrugineus",1264.08167
"2015-01_Montebello.transect_stereoBRUVs","NCB634","Fistulariidae","Fistularia","commersonii",1072.50706
"2015-01_Montebello.transect_stereoBRUVs","NCB689","Carcharhinidae","Carcharhinus","plumbeus",1343.0226
"2015-01_Montebello.transect_stereoBRUVs","NCB655","Carcharhinidae","Carcharhinus","plumbeus",1661.90632
"2015-01_Montebello.transect_stereoBRUVs","NCB614","Carcharhinidae","Carcharhinus","plumbeus",1277.21609
"2015-01_Montebello.transect_stereoBRUVs","NCB606","Scombridae","Scomberomorus","spp",1012.06737
"2015-01_Montebello.transect_stereoBRUVs","NCB667","Serranidae","Epinephelus","multinotatus",1246.14016
"2015-01_Montebello.transect_stereoBRUVs","NCB617","Mobulidae","Mobula","tarapacana",1197.59196
"2015-01_Montebello.transect_stereoBRUVs","NCB703","Rhynchobatidae","Rhynchobatus","australiae",2275.87843
"2015-01_Montebello.transect_stereoBRUVs","NCB652","Ginglymostomatidae","Nebrius","ferrugineus",2067.44021
"2015-01_Montebello.transect_stereoBRUVs","NCB707","Dasyatidae","Taeniurops","meyeni",1574.46435
"2015-01_Montebello.transect_stereoBRUVs","NCB707","Carcharhinidae","Carcharhinus","amblyrhynchos",1224.55177
"2015-01_Montebello.transect_stereoBRUVs","NCB704","Carcharhinidae","Carcharhinus","amblyrhynchos",1040.1425
"2015-01_Montebello.transect_stereoBRUVs","NCB683","Rhinobatidae","Glaucostegus","typus",2250.2722
"2015-01_Montebello.transect_stereoBRUVs","NCB628","Ginglymostomatidae","Nebrius","ferrugineus",1943.50936
"2015-01_Montebello.transect_stereoBRUVs","NCB616","Rhynchobatidae","Rhynchobatus","australiae",1137.15546
"2015-01_Montebello.transect_stereoBRUVs","NCB661","Carcharhinidae","Carcharhinus","plumbeus",1375.32164
"2015-01_Montebello.transect_stereoBRUVs","NCB665","Carcharhinidae","Negaprion","acutidens",2153.32602
"2015-01_Montebello.transect_stereoBRUVs","NCB633","Rhynchobatidae","Rhynchobatus","australiae",2884.7122
"2015-01_Montebello.transect_stereoBRUVs","NCB623","Serranidae","Epinephelus","tukula",1195.93352
"2015-01_Montebello.transect_stereoBRUVs","NCB709","Carcharhinidae","Carcharhinus","amblyrhynchos",1262.89225
"2015-01_Montebello.transect_stereoBRUVs","NCB657","Serranidae","Epinephelus","tukula",1289.14275
"2015-01_Montebello.transect_stereoBRUVs","NCB701","Rhynchobatidae","Rhynchobatus","australiae",2681.66812
"2015-09_Dampier.Archipelago_stereoBRUVs","NCB1513","Rhinobatidae","Glaucostegus","typus",2254.35154
"2015-09_Dampier.Archipelago_stereoBRUVs","NCB1553","Carcharhinidae","Negaprion","acutidens",1797.33072
"2015-09_Dampier.Archipelago_stereoBRUVs","MNCB356","Carcharhinidae","Triaenodon","obesus",1024.32598
"2015-09_Dampier.Archipelago_stereoBRUVs","NCB1522","Carcharhinidae","Negaprion","acutidens",2036.69177
"2015-09_Dampier.Archipelago_stereoBRUVs","NCB1522","Carcharhinidae","Galeocerdo","cuvier",1797.9604
"2015-09_Dampier.Archipelago_stereoBRUVs","NCB1522","Stegostomatidae","Stegostoma","fasciatum",1005.02089
"2015-09_Dampier.Archipelago_stereoBRUVs","NCB1550","Carcharhinidae","Negaprion","acutidens",1971.72485
"2015-09_Dampier.Archipelago_stereoBRUVs","MNCB334","Carcharhinidae","Negaprion","acutidens",1419.77953
"2015-09_Dampier.Archipelago_stereoBRUVs","NCB1546","Rhynchobatidae","Rhynchobatus","australiae",1708.45944
"2015-09_Dampier.Archipelago_stereoBRUVs","NCB1552","Carcharhinidae","Negaprion","acutidens",1889.20711
"2015-09_Dampier.Archipelago_stereoBRUVs","NCB1508","Rachycentridae","Rachycentron","canadum",1019.60927
"2015-09_Dampier.Archipelago_stereoBRUVs","NCB1521","Myliobatidae","Aetobatus","ocellatus",1040.38057
"2015-09_Dampier.transect_stereoBRUVs","NCB1470","Carcharhinidae","Carcharhinus","plumbeus",1049.55332
"2015-09_Dampier.transect_stereoBRUVs","NCB1492","Sphyraenidae","Sphyraena","barracuda",1207.39761
"2015-09_Dampier.transect_stereoBRUVs","NCB1493","Sphyraenidae","Sphyraena","barracuda",1034.56891
"2015-09_Dampier.transect_stereoBRUVs","NCB1478","Rhynchobatidae","Rhynchobatus","australiae",2124.30099
"2015-09_Dampier.transect_stereoBRUVs","NCB1472","Rhynchobatidae","Rhynchobatus","australiae",1088.26033
"2015-09_Dampier.transect_stereoBRUVs","NCB1462","Carcharhinidae","Carcharhinus","plumbeus",1403.70826
"2015-09_Dampier.transect_stereoBRUVs","NCB1502","Rhynchobatidae","Rhynchobatus","australiae",2381.38111
"2015-09_Dampier.transect_stereoBRUVs","NCB1465","Carcharhinidae","Carcharhinus","plumbeus",1077.08173
"2015-09_Dampier.transect_stereoBRUVs","NCB1490","Carcharhinidae","Carcharhinus","plumbeus",1265.01773
"2015-09_Dampier.transect_stereoBRUVs","NCB1474","Rhynchobatidae","Rhynchobatus","australiae",2079.75931
"2015-09_Dampier.transect_stereoBRUVs","NCB1498","Carcharhinidae","Carcharhinus","plumbeus",1091.05823
"2015-09_Dampier.transect_stereoBRUVs","NCB1535","Rhynchobatidae","Rhynchobatus","australiae",1414.9085
"2015-09_Dampier.transect_stereoBRUVs","NCB1466","Carcharhinidae","Carcharhinus","plumbeus",1312.01725
"2015-09_Dampier.transect_stereoBRUVs","NCB1466","Rhinobatidae","Glaucostegus","typus",2246.27165
"2015-09_Dampier.transect_stereoBRUVs","NCB1504","Rhynchobatidae","Rhynchobatus","australiae",2280.09787
"2015-09_Dampier.transect_stereoBRUVs","NCB1503","Carcharhinidae","Carcharhinus","plumbeus",1421.79214
"2015-09_Dampier.transect_stereoBRUVs","NCB1468","Carcharhinidae","Carcharhinus","plumbeus",1256.88396
"2015-09_Dampier.transect_stereoBRUVs","NCB1486","Carangidae","Carangoides","fulvoguttatus",1058.58887
"2015-09_Dampier.transect_stereoBRUVs","NCB1469","Carcharhinidae","Carcharhinus","plumbeus",1227.06185
"2015-09_Dampier.transect_stereoBRUVs","NCB1453","Sphyrnidae","Sphyrna","mokarran",1536.60068
"2015-09_Exmouth.Gulf_stereoBRUVs","NCB1313","Rhinobatidae","Glaucostegus","typus",1904.70831
"2015-09_Exmouth.Gulf_stereoBRUVs","NCB1357","Elopidae","Elops","hawaiensis",1041.79776
"2015-09_Exmouth.Gulf_stereoBRUVs","NCB1283","Elopidae","Elops","hawaiensis",1006.68781
"2015-09_Exmouth.Gulf_stereoBRUVs","NCB1309","Dasyatidae","Himantura","uarnak",1127.17615
"2015-09_Exmouth.Gulf_stereoBRUVs","NCB1345","Dasyatidae","Himantura","fai",1224.98183
"2015-09_Exmouth.Gulf_stereoBRUVs","NCB1350","Elopidae","Elops","hawaiensis",1077.29264
"2015-09_Exmouth.Gulf_stereoBRUVs","MNCB208","Scombridae","Scomberomorus","spp",1023.98676
"2015-09_Exmouth.Gulf_stereoBRUVs","NCB1316","Carcharhinidae","Galeocerdo","cuvier",2161.89605
"2015-09_Exmouth.Gulf_stereoBRUVs","MNCB213","Carcharhinidae","Carcharhinus","plumbeus",1503.07115
"2015-09_Exmouth.Gulf_stereoBRUVs","NCB1344","Sphyrnidae","Sphyrna","mokarran",1995.77856
"2015-09_Exmouth.Gulf_stereoBRUVs","MNCB225","Carcharhinidae","Galeocerdo","cuvier",2008.63531
"2015-09_Exmouth.Gulf_stereoBRUVs","NCB1323","Carcharhinidae","Galeocerdo","cuvier",1955.05281
"2015-09_Exmouth.Gulf_stereoBRUVs","MNCB247","Carcharhinidae","Galeocerdo","cuvier",2013.20606
"2015-09_Exmouth.Gulf_stereoBRUVs","NCB1276","Carcharhinidae","Galeocerdo","cuvier",1739.66883
"2015-09_Exmouth.Gulf_stereoBRUVs","NCB1294","Elopidae","Elops","hawaiensis",1117.79621
"2015-09_Exmouth.Gulf_stereoBRUVs","NCB1308","Dasyatidae","Himantura","uarnak",1200.28327
"2015-09_Exmouth.Gulf_stereoBRUVs","NCB1308","Rhinobatidae","Glaucostegus","typus",2059.38155
"2015-09_Exmouth.Gulf_stereoBRUVs","NCB1295","Elopidae","Elops","hawaiensis",1047.37519
"2015-09_Exmouth.Gulf_stereoBRUVs","NCB1296","Carcharhinidae","Carcharhinus","plumbeus",1200.07016
"2015-09_Exmouth.Gulf_stereoBRUVs","NCB1311","Dasyatidae","Himantura","uarnak",1083.56333
"2015-09_Exmouth.Gulf_stereoBRUVs","NCB1317","Elopidae","Elops","hawaiensis",1128.86986
"2015-09_Exmouth.Gulf_stereoBRUVs","MNCB203","Carcharhinidae","Galeocerdo","cuvier",2106.55094
"2015-09_Exmouth.Gulf_stereoBRUVs","MNCB233","Carcharhinidae","Galeocerdo","cuvier",1953.69165
"2015-09_Exmouth.Gulf_stereoBRUVs","NCB1280","Rachycentridae","Rachycentron","canadum",1488.60807
"2015-09_Exmouth.Gulf_stereoBRUVs","NCB1280","Rachycentridae","Rachycentron","canadum",1229.77523
"2015-09_Exmouth.Gulf_stereoBRUVs","NCB1280","Carcharhinidae","Galeocerdo","cuvier",1818.49074
"2015-09_Exmouth.Gulf_stereoBRUVs","NCB1293","Elopidae","Elops","hawaiensis",1108.9026
"2015-09_Exmouth.Gulf_stereoBRUVs","MNCB258","Carcharhinidae","Carcharhinus","limbatus",1002.94975
"2015-09_Exmouth.Gulf_stereoBRUVs","NCB1300","Rhynchobatidae","Rhynchobatus","australiae",1133.01048
"2015-09_Mackerel.Islands.shallow_stereoBRUVs","MNCB318","Carcharhinidae","Carcharhinus","sp10",1108.69852
"2015-09_Mackerel.Islands.shallow_stereoBRUVs","NCB1436","Rhynchobatidae","Rhynchobatus","australiae",1202.85996
