"campaignid","sample","family","genus","species","length","fb.length_max","fb.ltypemaxm","percent.error"
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB216","Pomacentridae","Neopomacentrus","azysron",124.1384,75,"TL",65.5178666666667
"2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","NCB295","Labridae","Anampses","melanurus",198.26984,120,"TL",65.2248666666667
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB394","Labridae","Cirrhilabrus","morrisoni",88.86925,55,"SL",61.5804545454545
"2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","NCB307","Pomacanthidae","Pomacanthus","semicirculatus",642.30803,400,"SL",60.5770075
"2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","NCB317","Labridae","Anampses","melanurus",189.86788,120,"TL",58.2232333333333
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB175","Apogonidae","Ostorhinchus","monospilus",122.52821,78,"SL",57.0874487179487
"2015-01_Montebello.transect_stereoBRUVs","NCB704","Scaridae","Scarus","schlegeli",624.63195,400,"TL",56.1579875
"2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","NCB277","Pomacentridae","Stegastes","obreptus",279.94219,180,"SL",55.5234388888889
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB217","Scaridae","Scarus","tricolor",401.48661,266,"SL",50.9348157894737
"2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","NCB292","Siganidae","Siganus","trispilos",377.02892,250,"TL",50.811568
"2015-01_Montebello.transect_stereoBRUVs","NCB640","Pomacanthidae","Chaetodontoplus","duboulayi",421.35424,280,"TL",50.4836571428571
"2015-09_Mackerel.Islands.shallow_stereoBRUVs","NCB1438","Monacanthidae","Paramonacanthus","choirocephalus",225.63646,150,"SL",50.4243066666667
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB137","Scaridae","Scarus","rivulatus",598.02763,400,"SL",49.5069075
"2015-01_Montebello.transect_stereoBRUVs","NCB656","Tetraodontidae","Feroxodon","multistriatus",576.75848,390,"TL",47.8867897435897
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB137","Scaridae","Scarus","rivulatus",591.45855,400,"SL",47.8646375
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB598","Chaetodontidae","Chaetodon","lunulatus",206.97394,140,"TL",47.8385285714286
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB443","Tetraodontidae","Feroxodon","multistriatus",570.05853,390,"TL",46.1688538461539
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB35","Carangidae","Atule","mate",437.31283,300,"TL",45.7709433333333
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB223","Serranidae","Epinephelus","fasciatus",579.69943,400,"TL",44.9248575
"2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","NCB298","Pomacentridae","Chromis","weberi",195.24136,135,"TL",44.6232296296296
"2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","NCB361","Caesionidae","Pterocaesio","tile",432.65303,300,"TL",44.2176766666667
"2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","NCB317","Labridae","Anampses","melanurus",171.65415,120,"TL",43.045125
"2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","NCB297","Scaridae","Scarus","rivulatus",566.37477,400,"SL",41.5936925
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB521","Tetraodontidae","Feroxodon","multistriatus",551.694,390,"TL",41.46
"2015-01_Montebello.transect_stereoBRUVs","NCB699","Tetraodontidae","Lagocephalus","lunaris",636.55867,450,"SL",41.4574822222222
