"campaignid","sample","family","genus","species","length","fb.length_max","fb.ltypemaxm","percent.error"
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB394","Labridae","Cirrhilabrus","morrisoni",63.97264,55,"SL",16.3138909090909
"2015-09_Exmouth.Gulf_stereoBRUVs","NCB1322","Carangidae","Selaroides","leptolepis",255.81134,220,"TL",16.2778818181818
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB103","Nemipteridae","Pentapodus","porosus",313.85592,270,"TL",16.2429333333333
"2015-09_Dampier.transect_stereoBRUVs","NCB1468","Synodontidae","Saurida","undosquamis",581.08496,500,"SL",16.216992
"2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","NCB305","Siganidae","Siganus","trispilos",290.49478,250,"TL",16.197912
"2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","NCB368","Lethrinidae","Lethrinus","nebulosus",1010.8632,870,"TL",16.1911724137931
"2015-09_Exmouth.Gulf_stereoBRUVs","MNCB240","Tetraodontidae","Lagocephalus","lunaris",522.60069,450,"SL",16.1334866666667
"2015-09_Exmouth.Gulf_stereoBRUVs","MNCB226","Tetraodontidae","Feroxodon","multistriatus",452.57644,390,"TL",16.045241025641
"2015-01_Montebello.transect_stereoBRUVs","NCB698","Tetraodontidae","Lagocephalus","lunaris",521.83074,450,"SL",15.9623866666667
"2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","NCB317","Labridae","Anampses","melanurus",139.08116,120,"TL",15.9009666666667
"2015-09_Exmouth.Gulf_stereoBRUVs","MNCB227","Pomacentridae","Pomacentrus","milleri",115.869,100,"SL",15.869
"2015-09_Exmouth.Gulf_stereoBRUVs","NCB1285","Tetraodontidae","Lagocephalus","lunaris",520.4865,450,"SL",15.6636666666667
"2015-01_Montebello.transect_stereoBRUVs","NCB616","Tetraodontidae","Feroxodon","multistriatus",450.82596,390,"TL",15.5964
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB536","Tetraodontidae","Feroxodon","multistriatus",450.79424,390,"TL",15.5882666666667
"2015-01_Montebello.transect_stereoBRUVs","NCB649","Carangidae","Atule","mate",346.29895,300,"TL",15.4329833333333
"2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","NCB301","Chaetodontidae","Chaetodon","plebeius",172.88628,150,"TL",15.25752
"2015-01_Montebello.transect_stereoBRUVs","NCB684","Lethrinidae","Lethrinus","ravus",345.7322,300,"SL",15.2440666666667
"2015-09_Dampier.transect_stereoBRUVs","NCB1466","Carangidae","Selar","boops",288.10712,250,"FL",15.242848
"2015-09_Mackerel.Islands.shallow_stereoBRUVs","NCB1429","Tetraodontidae","Lagocephalus","lunaris",518.31578,450,"SL",15.1812844444444
"2015-09_Exmouth.Gulf_stereoBRUVs","NCB1290","Tetraodontidae","Lagocephalus","lunaris",517.89593,450,"SL",15.0879844444444
"2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","NCB338","Labridae","Anampses","meleagrides",253.11309,220,"TL",15.0514045454545
"2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","NCB338","Pomacanthidae","Pomacanthus","semicirculatus",459.10317,400,"SL",14.7757925
"2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","NCB325","Pomacanthidae","Pomacanthus","semicirculatus",458.63849,400,"SL",14.6596225
"2015-09_Exmouth.Gulf_stereoBRUVs","MNCB222","Pomacentridae","Pomacentrus","milleri",114.56871,100,"SL",14.56871
"2015-09_Mackerel.Islands.shallow_stereoBRUVs","MNCB307","Monacanthidae","Paramonacanthus","choirocephalus",171.80307,150,"SL",14.53538
"2015-09_Mackerel.Islands.shallow_stereoBRUVs","MNCB314","Pomacentridae","Pomacentrus","milleri",114.52315,100,"SL",14.52315
"2015-09_Exmouth.Gulf_stereoBRUVs","NCB1283","Tetraodontidae","Lagocephalus","lunaris",514.5374,450,"SL",14.3416444444445
"2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","NCB346","Pomacentridae","Pomacentrus","coelestis",102.90108,90,"TL",14.3345333333333
"2015-01_Montebello.transect_stereoBRUVs","NCB616","Labridae","Coris","caudimacula",228.49667,200,"TL",14.248335
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB583","Carangidae","Selaroides","leptolepis",251.34329,220,"TL",14.24695
"2015-01_Montebello.transect_stereoBRUVs","NCB723","Lethrinidae","Lethrinus","ravus",342.3593,300,"SL",14.1197666666667
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB179","Serranidae","Epinephelus","bilobatus",456.06153,400,"TL",14.0153825
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB524","Haemulidae","Plectorhinchus","flavomaculatus",683.60086,600,"TL",13.9334766666667
"2015-01_Montebello.transect_stereoBRUVs","NCB649","Carangidae","Atule","mate",341.70571,300,"TL",13.9019033333333
"2015-09_Dampier.transect_stereoBRUVs","NCB1536","Labridae","Anampses","lennardi",318.84564,280,"TL",13.8734428571429
"2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","NCB352","Labridae","Cirrhilabrus","temminckii",131.90624,116,"FL",13.712275862069
"2015-09_Dampier.transect_stereoBRUVs","NCB1456","Tetraodontidae","Lagocephalus","lunaris",511.6308,450,"SL",13.6957333333333
"2015-09_Mackerel.Islands.shallow_stereoBRUVs","MNCB299","Lethrinidae","Lethrinus","genivittatus",284.12691,250,"TL",13.650764
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB434","Tetraodontidae","Lagocephalus","lunaris",511.12437,450,"SL",13.5831933333333
"2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","NCB315","Chaetodontidae","Chaetodon","lunula",226.93829,200,"TL",13.469145
"2015-09_Dampier.Archipelago_stereoBRUVs","MNCB354","Chaetodontidae","Chaetodon","aureofasciatus",170.19634,150,"TL",13.4642266666667
"2015-09_Dampier.Archipelago_stereoBRUVs","NCB1557","Labridae","Anampses","lennardi",317.61852,280,"TL",13.4351857142857
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB192","Pomacentridae","Pomacentrus","coelestis",102.08809,90,"TL",13.4312111111111
"2015-09_Dampier.transect_stereoBRUVs","NCB1500","Tetraodontidae","Feroxodon","multistriatus",442.07654,390,"TL",13.352958974359
"2015-09_Mackerel.Islands.shallow_stereoBRUVs","MNCB304","Tetraodontidae","Feroxodon","multistriatus",442.06614,390,"TL",13.3502923076923
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB513","Carangidae","Carangoides","oblongus",521.17794,460,"TL",13.2995521739131
"2015-01_Montebello.transect_stereoBRUVs","NCB651","Monacanthidae","Cantherhines","fronticinctus",282.68066,250,"TL",13.072264
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB563","Chaetodontidae","Chaetodon","unimaculatus",225.91285,200,"TL",12.956425
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB583","Carangidae","Selaroides","leptolepis",248.1238,220,"TL",12.7835454545455
"2015-09_Mackerel.Islands.shallow_stereoBRUVs","MNCB282","Scaridae","Scarus","psittacus",383.32578,340,"TL",12.7428764705882
"2015-09_Dampier.Archipelago_stereoBRUVs","NCB1523","Carangidae","Atule","mate",337.72804,300,"TL",12.5760133333333
"2015-01_Montebello.transect_stereoBRUVs","NCB706","Carangidae","Atule","mate",337.53264,300,"TL",12.51088
"2015-01_Montebello.transect_stereoBRUVs","NCB612","Tetraodontidae","Feroxodon","multistriatus",438.77887,390,"TL",12.5074025641026
"2015-01_Montebello.transect_stereoBRUVs","NCB706","Carangidae","Atule","mate",337.28133,300,"TL",12.42711
"2015-09_Exmouth.Gulf_stereoBRUVs","NCB1345","Tetraodontidae","Feroxodon","multistriatus",438.01043,390,"TL",12.3103666666667
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB455","Serranidae","Pseudanthias","rubrizonatus",134.60903,120,"TL",12.1741916666667
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB89","Nemipteridae","Pentapodus","porosus",302.81106,270,"TL",12.1522444444444
"2015-09_Dampier.transect_stereoBRUVs","NCB1490","Labridae","Bodianus","solatus",392.45623,350,"SL",12.1303514285714
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB163","Pomacentridae","Pomacentrus","coelestis",100.84383,90,"TL",12.0487
"2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","NCB381","Pomacentridae","Dascyllus","reticulatus",100.83153,90,"TL",12.0350333333333
"2015-09_Exmouth.Gulf_stereoBRUVs","NCB1291","Tetraodontidae","Lagocephalus","lunaris",503.99958,450,"SL",11.9999066666667
"2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","NCB338","Pomacentridae","Dascyllus","trimaculatus",156.77761,140,"TL",11.9840071428572
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB445","Tetraodontidae","Lagocephalus","lunaris",503.7934,450,"SL",11.9540888888889
"2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","NCB362","Pomacentridae","Pomacentrus","vaiuli",111.95107,100,"FL",11.95107
"2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","NCB354","Tetraodontidae","Feroxodon","multistriatus",436.5427,390,"TL",11.9340256410256
"2015-01_Montebello.transect_stereoBRUVs","NCB610","Tetraodontidae","Feroxodon","multistriatus",436.43658,390,"TL",11.9068153846154
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB216","Acanthuridae","Acanthurus","grammoptilus",391.49514,350,"TL",11.8557542857143
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB30","Siganidae","Siganus","punctatus",447.29702,400,"TL",11.824255
"2015-01_Montebello.transect_stereoBRUVs","NCB613","Tetraodontidae","Feroxodon","multistriatus",435.9939,390,"TL",11.7933076923077
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB565","Siganidae","Siganus","trispilos",279.46855,250,"TL",11.78742
"2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","NCB372","Pomacentridae","Pomacentrus","milleri",111.73151,100,"SL",11.73151
"2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","NCB325","Labridae","Thalassoma","amblycephalum",178.73077,160,"SL",11.70673125
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB50","Labridae","Anampses","lennardi",312.72681,280,"TL",11.6881464285714
"2015-09_Exmouth.Gulf_stereoBRUVs","NCB1287","Tetraodontidae","Lagocephalus","lunaris",502.17254,450,"SL",11.5938977777778
"2015-09_Exmouth.Gulf_stereoBRUVs","MNCB242","Pomacentridae","Pomacentrus","milleri",111.58981,100,"SL",11.58981
"2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","NCB329","Mullidae","Parupeneus","cyclostomus",557.90347,500,"TL",11.580694
"2015-01_Montebello.transect_stereoBRUVs","NCB619","Labridae","Coris","pictoides",167.06841,150,"TL",11.37894
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB190","Lethrinidae","Lethrinus","variegatus",222.7083,200,"TL",11.35415
"2015-09_Dampier.Archipelago_stereoBRUVs","NCB1523","Carangidae","Atule","mate",333.99998,300,"TL",11.3333266666667
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB443","Tetraodontidae","Lagocephalus","lunaris",500.50358,450,"SL",11.2230177777778
"2015-01_Montebello.transect_stereoBRUVs","NCB700","Tetraodontidae","Lagocephalus","lunaris",500.40158,450,"SL",11.2003511111111
"2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","NCB341","Pomacentridae","Dascyllus","trimaculatus",155.64766,140,"TL",11.1769
"2015-01_Montebello.transect_stereoBRUVs","NCB618","Tetraodontidae","Feroxodon","multistriatus",433.2786,390,"TL",11.0970769230769
"2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","NCB369","Caesionidae","Pterocaesio","tile",333.26645,300,"TL",11.0888166666667
"2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","NCB304","Labridae","Hemigymnus","melapterus",666.21578,600,"SL",11.0359633333333
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB59","Labridae","Anampses","lennardi",310.87618,280,"TL",11.0272071428571
"2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","NCB284","Scaridae","Scarus","chameleon",343.90096,310,"TL",10.9357935483871
"2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","NCB295","Scaridae","Hipposcarus","longiceps",665.54285,600,"TL",10.9238083333333
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB583","Carangidae","Selaroides","leptolepis",243.82006,220,"TL",10.8273
"2015-09_Dampier.Archipelago_stereoBRUVs","MNCB348","Plotosidae","Paraplotosus","butleri",359.74451,325,"SL",10.6906184615385
"2015-09_Dampier.transect_stereoBRUVs","NCB1487","Caesionidae","Pterocaesio","chrysozona",231.81969,210,"TL",10.3903285714286
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB489","Carangidae","Selaroides","leptolepis",242.70298,220,"TL",10.3195363636364
"2015-09_Mackerel.Islands.shallow_stereoBRUVs","MNCB278","Labridae","Hemigymnus","fasciatus",330.67687,300,"TL",10.2256233333333
"2015-01_Montebello.transect_stereoBRUVs","NCB636","Trichonotidae","Trichonotus","setiger",242.14028,220,"TL",10.0637636363636
"2015-01_Montebello.transect_stereoBRUVs","NCB617","Labridae","Leptojulis","cyanopleura",143.02624,130,"TL",10.0201846153846
"2015-01_Montebello.transect_stereoBRUVs","NCB649","Carangidae","Atule","mate",329.89709,300,"TL",9.96569666666666
"2015-09_Dampier.transect_stereoBRUVs","NCB1460","Carangidae","Atule","mate",329.5054,300,"TL",9.83513333333334
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB193","Chaetodontidae","Heniochus","acuminatus",274.35917,250,"TL",9.743668
"2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","NCB371","Caesionidae","Pterocaesio","digramma",329.15149,300,"TL",9.71716333333334
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB172","Carangidae","Selaroides","leptolepis",241.31635,220,"TL",9.68925
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB563","Chaetodontidae","Chaetodon","unimaculatus",219.28918,200,"TL",9.64458999999999
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB443","Tetraodontidae","Lagocephalus","lunaris",493.26512,450,"SL",9.61447111111112
"2015-01_Montebello.transect_stereoBRUVs","NCB706","Carangidae","Atule","mate",328.61849,300,"TL",9.53949666666667
"2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","NCB338","Pomacentridae","Dascyllus","trimaculatus",153.19651,140,"TL",9.42607857142857
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB529","Labridae","Anampses","lennardi",306.36838,280,"TL",9.41727857142857
"2015-09_Dampier.Archipelago_stereoBRUVs","MNCB332","Nemipteridae","Scaevius","milii",218.80919,200,"SL",9.404595
"2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","NCB358","Acanthuridae","Acanthurus","olivaceus",382.60649,350,"TL",9.31614
"2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","NCB303","Pinguipedidae","Parapercis","clathrata",261.82593,240,"TL",9.09413750000001
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB441","Tetraodontidae","Lagocephalus","lunaris",490.67457,450,"SL",9.03879333333334
"2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","NCB372","Siganidae","Siganus","trispilos",272.5761,250,"TL",9.03044
"2015-09_Dampier.transect_stereoBRUVs","NCB1462","Synodontidae","Saurida","undosquamis",545.12989,500,"SL",9.02597800000001
"2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","NCB277","Caesionidae","Pterocaesio","tile",327.04402,300,"TL",9.01467333333333
"2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","NCB288","Scaridae","Scarus","schlegeli",435.91019,400,"TL",8.9775475
"2015-01_Montebello.transect_stereoBRUVs","NCB720","Cirrhitidae","Cirrhitichthys","falco",76.28051,70,"TL",8.97215714285715
"2015-09_Dampier.Archipelago_stereoBRUVs","MNCB332","Labridae","Halichoeres","nebulosus",130.72893,120,"TL",8.94077499999999
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB463","Serranidae","Epinephelus","bilobatus",435.36403,400,"TL",8.8410075
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB190","Lethrinidae","Lethrinus","variegatus",217.67569,200,"TL",8.837845
"2015-01_Montebello.transect_stereoBRUVs","NCB642","Labridae","Pseudojuloides","severnsi",99.57422,91.5,"SL",8.82428415300546
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB426","Carangidae","Carangoides","chrysophrys",782.8302,720,"FL",8.72641666666667
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB442","Tetraodontidae","Lagocephalus","lunaris",489.20747,450,"SL",8.71277111111111
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB433","Tetraodontidae","Lagocephalus","lunaris",489.17364,450,"SL",8.70525333333333
"2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","NCB362","Lethrinidae","Lethrinus","nebulosus",945.70445,870,"TL",8.70166091954022
"2015-01_Montebello.transect_stereoBRUVs","NCB656","Labridae","Pseudojuloides","severnsi",99.38933,91.5,"SL",8.62221857923497
"2015-09_Mackerel.Islands.shallow_stereoBRUVs","NCB1438","Monacanthidae","Paramonacanthus","choirocephalus",162.78002,150,"SL",8.52001333333334
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB441","Tetraodontidae","Lagocephalus","lunaris",487.87457,450,"SL",8.41657111111111
"2015-09_Exmouth.Gulf_stereoBRUVs","MNCB219","Tetraodontidae","Feroxodon","multistriatus",422.74597,390,"TL",8.39640256410256
"2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","NCB369","Caesionidae","Pterocaesio","tile",324.76455,300,"TL",8.25485
"2015-09_Mackerel.Islands.shallow_stereoBRUVs","NCB1431","Tetraodontidae","Feroxodon","multistriatus",422.06151,390,"TL",8.2209
"2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","NCB295","Siganidae","Siganus","trispilos",270.54211,250,"TL",8.21684399999999
"2015-09_Dampier.Archipelago_stereoBRUVs","NCB1515","Lethrinidae","Lethrinus","variegatus",216.39149,200,"TL",8.195745
"2015-09_Dampier.transect_stereoBRUVs","NCB1487","Caesionidae","Pterocaesio","chrysozona",227.02141,210,"TL",8.10543333333334
"2015-01_Montebello.transect_stereoBRUVs","NCB653","Carangidae","Atule","mate",323.98624,300,"TL",7.99541333333334
"2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","NCB295","Siganidae","Siganus","trispilos",269.91511,250,"TL",7.96604400000001
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB192","Pomacentridae","Pomacentrus","coelestis",97.15825,90,"TL",7.95361111111111
"2015-01_Montebello.transect_stereoBRUVs","NCB652","Pomacanthidae","Chaetodontoplus","duboulayi",302.17915,280,"TL",7.921125
"2015-09_Mackerel.Islands.shallow_stereoBRUVs","MNCB315","Monacanthidae","Paramonacanthus","choirocephalus",161.87566,150,"SL",7.91710666666667
"2015-09_Dampier.transect_stereoBRUVs","NCB1470","Synodontidae","Saurida","undosquamis",539.45478,500,"SL",7.89095600000001
"2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","NCB304","Siganidae","Siganus","trispilos",269.70081,250,"TL",7.880324
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB125","Acanthuridae","Acanthurus","grammoptilus",377.49339,350,"TL",7.85525428571428
"2015-01_Montebello.transect_stereoBRUVs","NCB653","Carangidae","Atule","mate",323.49004,300,"TL",7.83001333333334
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB451","Lethrinidae","Lethrinus","ravus",323.48684,300,"SL",7.82894666666666
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB32","Pomacentridae","Chromis","fumea",107.81304,100,"SL",7.81304
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB210","Carangidae","Atule","mate",323.43852,300,"TL",7.81283999999999
"2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","NCB345","Pomacentridae","Dascyllus","trimaculatus",150.8315,140,"TL",7.73678571428572
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB487","Tetraodontidae","Lagocephalus","lunaris",484.08354,450,"SL",7.57412000000001
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB261","Ephippidae","Zabidius","novemaculeatus",483.92994,450,"TL",7.53998666666666
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB117","Acanthuridae","Acanthurus","grammoptilus",376.25165,350,"TL",7.50047142857142
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB137","Scaridae","Scarus","rivulatus",429.91249,400,"SL",7.4781225
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB442","Tetraodontidae","Lagocephalus","lunaris",483.615,450,"SL",7.47
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB225","Labridae","Anampses","melanurus",128.93549,120,"TL",7.44624166666666
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB47","Labridae","Anampses","lennardi",300.79615,280,"TL",7.42719642857143
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB208","Pomacanthidae","Pomacanthus","semicirculatus",429.68089,400,"SL",7.42022249999999
"2015-01_Montebello.transect_stereoBRUVs","NCB629","Carangidae","Atule","mate",322.21554,300,"TL",7.40517999999999
"2015-09_Mackerel.Islands.shallow_stereoBRUVs","NCB1439","Monacanthidae","Paramonacanthus","choirocephalus",161.03855,150,"SL",7.35903333333332
"2015-01_Montebello.transect_stereoBRUVs","NCB649","Carangidae","Atule","mate",322.02228,300,"TL",7.34076000000001
"2015-01_Montebello.transect_stereoBRUVs","NCB649","Carangidae","Atule","mate",322.00292,300,"TL",7.33430666666667
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB583","Carangidae","Selaroides","leptolepis",236.06961,220,"TL",7.30436818181819
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB435","Tetraodontidae","Lagocephalus","lunaris",482.78739,450,"SL",7.28608666666667
"2015-09_Dampier.Archipelago_stereoBRUVs","MNCB341","Lethrinidae","Lethrinus","variegatus",214.38143,200,"TL",7.190715
"2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","NCB289","Siganidae","Siganus","trispilos",267.88489,250,"TL",7.15395599999999
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB52","Labridae","Choerodon","cauteroma",460.70838,430,"TL",7.14148372093023
"2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","NCB339","Acanthuridae","Acanthurus","grammoptilus",374.94305,350,"TL",7.12658571428572
"2015-01_Montebello.transect_stereoBRUVs","NCB706","Labridae","Cirrhilabrus","temminckii",124.2539,116,"FL",7.11543103448276
"2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","NCB288","Acanthuridae","Acanthurus","nigrofuscus",224.83735,210,"TL",7.06540476190476
"2015-09_Dampier.transect_stereoBRUVs","NCB1475","Synodontidae","Saurida","undosquamis",535.29239,500,"SL",7.05847799999999
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB122","Carangidae","Selaroides","leptolepis",235.4716,220,"TL",7.03254545454545
"2015-09_Mackerel.Islands.shallow_stereoBRUVs","MNCB312","Pomacentridae","Pomacentrus","milleri",107.03169,100,"SL",7.03169
"2015-09_Dampier.Archipelago_stereoBRUVs","NCB1516","Carangidae","Atule","mate",320.72026,300,"TL",6.90675333333333
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB4","Carangidae","Atule","mate",320.42481,300,"TL",6.80826999999999
"2015-09_Exmouth.Gulf_stereoBRUVs","MNCB213","Carangidae","Selaroides","leptolepis",234.96956,220,"TL",6.80434545454545
"2015-01_Montebello.transect_stereoBRUVs","NCB652","Labridae","Leptojulis","cyanopleura",138.7864,130,"TL",6.75876923076922
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB247","Acanthuridae","Acanthurus","grammoptilus",373.60736,350,"TL",6.74496000000001
"2015-01_Montebello.transect_stereoBRUVs","NCB670","Lethrinidae","Lethrinus","ravus",320.04459,300,"SL",6.68153000000001
"2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","NCB277","Labridae","Labroides","bicolor",159.99175,150,"TL",6.66116666666666
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB451","Acanthuridae","Acanthurus","mata",533.25608,500,"TL",6.651216
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB447","Serranidae","Epinephelus","bilobatus",426.44531,400,"TL",6.6113275
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB61","Labridae","Anampses","lennardi",298.4033,280,"TL",6.57260714285714
"2015-09_Exmouth.Gulf_stereoBRUVs","NCB1295","Tetraodontidae","Lagocephalus","lunaris",479.52819,450,"SL",6.56182
"2015-01_Montebello.transect_stereoBRUVs","NCB707","Carangidae","Atule","mate",319.62455,300,"TL",6.54151666666667
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB35","Carangidae","Atule","mate",319.56521,300,"TL",6.52173666666666
"2015-09_Dampier.Archipelago_stereoBRUVs","NCB1508","Carangidae","Atule","mate",319.39004,300,"TL",6.46334666666667
"2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","NCB343","Labridae","Halichoeres","nebulosus",127.71605,120,"TL",6.43004166666666
"2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","NCB304","Labridae","Anampses","melanurus",127.62886,120,"TL",6.35738333333334
"2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","NCB364","Caesionidae","Pterocaesio","tile",318.97422,300,"TL",6.32474
"2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","NCB277","Caesionidae","Pterocaesio","tile",318.88788,300,"TL",6.29596
"2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","NCB371","Acanthuridae","Acanthurus","mata",531.37723,500,"TL",6.27544600000001
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB572","Chaetodontidae","Chaetodon","aureofasciatus",159.39688,150,"TL",6.26458666666667
"2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","NCB300","Labridae","Halichoeres","nebulosus",127.50923,120,"TL",6.25769166666667
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB224","Labridae","Pseudocheilinus","evanidus",95.59572,90,"TL",6.21746666666667
"2015-09_Dampier.Archipelago_stereoBRUVs","NCB1523","Siganidae","Siganus","fuscescens",423.99547,400,"TL",5.9988675
"2015-09_Dampier.Archipelago_stereoBRUVs","NCB1523","Carangidae","Atule","mate",317.95798,300,"TL",5.98599333333334
"2015-09_Exmouth.Gulf_stereoBRUVs","MNCB228","Lethrinidae","Lethrinus","variegatus",211.96727,200,"TL",5.98363500000001
"2015-01_Montebello.transect_stereoBRUVs","NCB665","Labridae","Pseudojuloides","severnsi",96.94132,91.5,"SL",5.94679781420766
"2015-09_Dampier.Archipelago_stereoBRUVs","MNCB326","Nemipteridae","Scaevius","milii",211.82762,200,"SL",5.91381
"2015-09_Dampier.transect_stereoBRUVs","NCB1538","Tetraodontidae","Lagocephalus","lunaris",476.40076,450,"SL",5.86683555555555
"2015-01_Montebello.transect_stereoBRUVs","NCB654","Lethrinidae","Lethrinus","ravus",317.55752,300,"SL",5.85250666666667
