OpCode	PeriodIndex	Period	FilenameStart	FrameStart	TimeStart	FilenameEnd	FrameEnd	TimeEnd	HasEnd
NCB1544	0	Time Seabed	NCB1544_L373.avi	11592	7.72800				0
NCB1455	0	Analysis	NCB1455_L439.avi	12108	6.73340				0
NCB1471	0	Time Seabed	NCB1471_L427.avi	10517	5.84863				0
NCB1447	0	Analysis	NCB1447_L377.avi	10261	5.70626				0
NCB1542	0	Analysis	NCB1542_L377.avi	15329	10.21933				0
NCB1484	0	Time Seabed	NCB1484_L441.avi	9202	5.11734				0
NCB1451	0	Time Seabed	NCB1451_R428.avi	9279	5.16016				0
NCB1470	0	Time Seabed	NCB1470_L377.avi	8302	5.53467				0
NCB1446	0	Analysis	NCB1446_L511.avi	3452	1.91970				0
NCB1479	0	Time Seabed	NCB1479_L367.avi	5450	3.63333				0
NCB1487	0	Time Seabed	NCB1487_L375.avi	8844	5.89600				0
NCB1536	0	Analysis	NCB1536_L375.avi	6206	4.13733				0
NCB1492	0	Time Seabed	NCB1492_L427.avi	8139	4.52619				0
NCB1464	0	Analysis	NCB1464_L373.avi	9578	6.38533				0
NCB1461	0	Analysis	NCB1461_L427.avi	11545	6.42031				0
NCB1467	0	Time Seabed	NCB1467_L375.avi	7554	5.03600				0
NCB1539	0	Analysis	NCB1539_L367.avi	12530	8.35333				0
NCB1541	0	Analysis	NCB1541_L371.avi	10039	6.69267				0
NCB1458	0	Time Seabed	NCB1458_L420.avi	11648	6.47759				0
NCB1493	0	Time Seabed	NCB1493_L367.avi	7015	4.67667				0
NCB1475	0	Time Seabed	NCB1475_L439.avi	11033	6.13558				0
NCB1478	0	Time Seabed	NCB1478_L420.avi	9872	5.48993				0
NCB1477	0	Time Seabed	NCB1477_L439.avi	9249	5.14348				0
NCB1472	0	Time Seabed	NCB1472_L371.avi	6620	4.41333				0
NCB1495	0	Time Seabed	NCB1495_L439.avi	3641	2.02480				0
NCB1537	0	Time Seabed	NCB1537_L439.avi	9704	5.39651				0
NCB1462	0	Time Seabed	NCB1462_L375.avi	7488	4.99200				0
NCB1502	0	Time Seabed	NCB1502_L377.avi	6731	4.48733				0
NCB1465	0	Time seabed	NCB1465_L377.avi	10135	6.75667				0
NCB1473	0	Time Seabed	NCB1473_L367.avi	9816	6.54400				0
NCB1500	0	Time Seabed	NCB1500_L427.avi	33774	18.78212				0
NCB1490	0	TIme Seabed	NCB1490_L377.avi	10827	7.21800				0
NCB1452	0	Analysis	NCB1452_L371.avi	9356	6.23733				0
NCB1474	0	Time Seabed	NCB1474_L420.avi	8180	4.54899				0
NCB1482	0	Time Seabed	NCB1482_L377.avi	6609	4.40600				0
NCB1488	0	Tiem Seabed	NCB1488_L373.avi	28706	19.13733				0
NCB1480	0	Time Seabed	NCB1480_L371.avi	6462	4.30800				0
NCB1543	0	Analysis	NCB1543_L441.avi	8004	4.45112				0
NCB1498	0	Time Seabed	NCB1498_L420.avi	7646	4.25203				0
NCB1457	0	Analysis	NCB1457_L439.avi	7837	4.35825				0
NCB1485	0	Time Seabed	NCB1485_L375.avi	10773	7.18200				0
NCB1456	0	Analysis	NCB1456_L511.avi	6778	3.76932				0
NCB1489	0	Time Seabed	NCB1489_L441.avi	7410	4.12079				0
NCB1448	0	Time Seabed	NCB1448_L373.avi	10138	5.63786				0
NCB1450	0	Analysis	NCB1450_L375.avi	11077	7.38467				0
NCB1499	0	Time Seabed	NCB1499_L367.avi	17866	11.91067				0
NCB1535	0	Time Seabed	NCB1535_R512.avi	5332	2.96519				0
NCB1466	0	Time Seabed	NCB1466_L511.avi	10021	5.57280				0
NCB1504	0	Time Seabed	NCB1504_L373.avi	7265	4.84333				0
NCB1463	0	Analysis	NCB1463_L441.avi	10270	5.71127				0
NCB1496	0	Time Seabed	NCB1496_L511.avi	8595	4.77978				0
NCB1483	0	Time Seabed	NCB1483_R374.avi	8552	5.70133				0
NCB1491	0	Time Seabed	NCB1491_L371.avi	4841	3.22733				0
NCB1460	0	Analysis	NCB1460_L371.avi	11624	7.74933				0
NCB1501	0	Time Seabed	NCB1501_L371.avi	9154	6.10267				0
NCB1503	0	Time Seabed	NCB1503_R442.avi	5623	3.12702				0
NCB1454	0	Analysis	NCB1454_L420.avi	12613	7.01424				0
NCB1468	0	Time Seabed	NCB1468_L441.avi	8312	4.62240				0
NCB1476	0	Time Seabed	NCB1476_L511.avi	10858	6.03826				0
NCB1494	0	Time Seabed	NCB1494_L420.avi	8041	4.47169				0
NCB1486	0	Time Seabed	NCB1486_L511.avi	6886	3.82938				0
NCB1449	0	Time Seabed	NCB1449_L441.avi	9219	5.12679				0
NCB1538	0	Time Seabed	NCB1538_L420.avi	8682	4.82816				0
NCB1459	0	Time Seabed	NCB1459_L367.avi	11704	7.80267				0
NCB1540	0	Analysis	NCB1540_L427.avi	10700	5.95039				0
NCB1481	0	Time Seabed	NCB1481_L427.avi	12674	7.04816				0
NCB1469	0	Time Seabed	NCB1469_L373.avi	5557	3.70467				0
NCB1453	0	Analysis	NCB1453_L367.avi	7422	4.94800				0
